Metric,Value
Overall Accuracy,0.5995
""
Macro Averaged Metrics,
Precision (Macro),0.6301
Recall (Macro),0.4562
F1-Score (Macro),0.4381
""
Weighted Averaged Metrics,
Precision (Weighted),0.6481
Recall (Weighted),0.5995
F1-Score (Weighted),0.5252
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8750,0.2482,0.3867,141
Enrolled,0.4348,0.1250,0.1942,80
Graduate,0.5805,0.9955,0.7333,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,35,12,94
Enrolled,5,10,65
Graduate,0,1,220
