Metric,Value
Overall Accuracy,0.7059
""
Macro Averaged Metrics,
Precision (Macro),0.6791
Recall (Macro),0.5836
F1-Score (Macro),0.5930
""
Weighted Averaged Metrics,
Precision (Weighted),0.7029
Recall (Weighted),0.7059
F1-Score (Weighted),0.6729
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8384,0.5845,0.6888,142
Enrolled,0.5161,0.2025,0.2909,79
Graduate,0.6827,0.9638,0.7992,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,83,8,51
Enrolled,15,16,48
Graduate,1,7,213
