Metric,Value
Overall Accuracy,0.6063
""
Macro Averaged Metrics,
Precision (Macro),0.6677
Recall (Macro),0.4643
F1-Score (Macro),0.4500
""
Weighted Averaged Metrics,
Precision (Weighted),0.6750
Recall (Weighted),0.6063
F1-Score (Weighted),0.5337
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.9231,0.2553,0.4000,141
Enrolled,0.5000,0.1375,0.2157,80
Graduate,0.5801,1.0000,0.7342,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,36,11,94
Enrolled,3,11,66
Graduate,0,0,221
