Metric,Value
Overall Accuracy,0.5860
""
Macro Averaged Metrics,
Precision (Macro),0.6747
Recall (Macro),0.4448
F1-Score (Macro),0.4244
""
Weighted Averaged Metrics,
Precision (Weighted),0.6469
Recall (Weighted),0.5860
F1-Score (Weighted),0.5044
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.7250,0.2042,0.3187,142
Enrolled,0.7333,0.1392,0.2340,79
Graduate,0.5659,0.9910,0.7204,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,29,4,109
Enrolled,9,11,59
Graduate,2,0,219
