Epoch,Train_Acc,L_CE,L_Global,L_Local,L_KL,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Class0,Hard_Class0,Soft_Class0,Limit_Class1,Hard_Class1,Soft_Class1,Limit_Class2,Hard_Class2,Soft_Class2,Limit_Class3,Hard_Class3,Soft_Class3,Limit_Class4,Hard_Class4,Soft_Class4,Limit_Class5,Hard_Class5,Soft_Class5,Limit_Class6,Hard_Class6,Soft_Class6,Group0_Hard_Class4,Group0_Soft_Class4,Group0_Limit_Class4,Group1_Hard_Class4,Group1_Soft_Class4,Group1_Limit_Class4,Group2_Hard_Class4,Group2_Soft_Class4,Group2_Limit_Class4
51,0.9984,0.008057,0.248991,0.733764,0.000000,0.05,0.00,0,0,inf,65,64.84,inf,101,100.92,inf,221,217.39,inf,12,12.49,45,152,154.01,inf,1424,1424.31,inf,28,29.03,64,65.27,20,64,65.21,17,24,23.53,8
55,1.0000,0.000000,0.358217,1.048724,0.000000,0.06,0.00,0,0,inf,67,68.85,inf,103,99.48,inf,217,217.74,inf,14,12.92,45,155,161.62,inf,1417,1412.47,inf,30,29.91,66,70.05,20,67,68.36,17,22,23.21,8
60,1.0000,0.000000,0.304944,0.748165,0.000000,0.07,0.00,0,0,inf,67,68.69,inf,100,99.46,inf,242,236.43,inf,10,11.61,45,91,90.65,inf,1463,1466.48,inf,30,29.68,42,41.71,20,39,38.64,17,10,10.30,8
65,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,1,1,inf,63,62.15,inf,102,98.22,inf,245,245.80,inf,9,10.66,45,38,36.69,inf,1517,1520.29,inf,29,29.17,18,18.22,20,17,15.73,17,3,2.74,8
66,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,1,1,inf,63,61.09,inf,102,97.44,inf,245,246.55,inf,9,10.58,45,33,30.42,inf,1523,1527.90,inf,28,29.02,16,15.55,20,15,12.90,17,2,1.97,8
68,1.0000,0.000000,0.000000,0.001066,0.000000,0.08,0.00,1,1,inf,64,63.76,inf,105,101.25,inf,242,241.06,inf,10,10.85,45,39,41.08,inf,1513,1515.38,inf,30,29.62,18,19.88,20,17,17.21,17,4,4.00,8
69,1.0000,0.000000,0.000000,0.000925,0.000000,0.08,0.00,1,1,inf,64,63.80,inf,105,101.80,inf,243,242.44,inf,10,10.92,45,39,41.13,inf,1512,1513.16,inf,30,29.75,18,20.22,20,17,16.61,17,4,4.30,8
70,1.0000,0.000000,0.000000,0.000366,0.000000,0.08,0.00,1,1,inf,65,64.02,inf,105,102.68,inf,240,240.85,inf,11,10.99,45,40,41.22,inf,1512,1513.34,inf,30,29.90,18,20.09,20,17,16.49,17,5,4.64,8
71,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,1,1,inf,65,64.36,inf,107,103.79,inf,237,238.13,inf,11,11.05,45,40,41.40,inf,1513,1514.19,inf,30,30.08,18,19.81,20,17,16.61,17,5,4.99,8
