Metric,Value
Overall Accuracy,0.5995
""
Macro Averaged Metrics,
Precision (Macro),0.6355
Recall (Macro),0.4554
F1-Score (Macro),0.4360
""
Weighted Averaged Metrics,
Precision (Weighted),0.6504
Recall (Weighted),0.5995
F1-Score (Weighted),0.5231
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8718,0.2411,0.3778,141
Enrolled,0.4545,0.1250,0.1961,80
Graduate,0.5801,1.0000,0.7342,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,34,12,95
Enrolled,5,10,65
Graduate,0,0,221
