epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lambda_g
0,0.002941,0.0,274,0,0.704242
1,0.001614,169.75553,248,0,1.345934
2,nan,324.723982,248,0,1.987626
3,nan,479.692463,248,0,2.629319
4,nan,634.660946,248,0,3.271011
5,nan,789.629364,248,0,3.912703
6,nan,944.597855,248,0,4.554396
7,nan,1099.566307,248,0,5.196088
8,nan,1254.534714,248,0,5.83778
9,nan,1409.503235,248,0,6.479473
10,nan,1564.471695,248,0,7.121165
11,nan,1719.440247,248,0,7.762857
12,nan,1822.73613,244,0,8.381035
13,nan,1873.781448,226,0,8.958743
14,nan,1872.639877,212,0,9.484157
15,nan,1818.568344,176,0,9.947494
16,nan,1719.632072,162,0,10.342843
17,nan,1569.460495,128,0,10.663176
18,nan,1381.420624,100,0,10.90315
19,nan,1412.644096,100,0,11.143124
20,nan,1188.915192,68,0,11.301103
21,nan,955.04636,26,0,11.378192
22,nan,726.539318,6,0,11.383801
23,nan,0.0,0,1,11.383801
24,nan,0.0,0,1,11.383801
25,nan,0.0,0,1,11.383801
26,nan,0.0,0,1,11.383801
27,nan,0.0,0,1,11.383801
