Metric,Value
Overall Accuracy,0.5113
""
Macro Averaged Metrics,
Precision (Macro),0.4190
Recall (Macro),0.3459
F1-Score (Macro),0.2506
""
Weighted Averaged Metrics,
Precision (Weighted),0.4944
Recall (Weighted),0.5113
F1-Score (Weighted),0.3616
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.7500,0.0423,0.0800,142
Enrolled,0.0000,0.0000,0.0000,79
Graduate,0.5069,0.9955,0.6718,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,6,0,136
Enrolled,1,0,78
Graduate,1,0,220
