Metric,Value
Overall Accuracy,0.5158
""
Macro Averaged Metrics,
Precision (Macro),0.4618
Recall (Macro),0.3499
F1-Score (Macro),0.2566
""
Weighted Averaged Metrics,
Precision (Weighted),0.5343
Recall (Weighted),0.5158
F1-Score (Weighted),0.3679
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8750,0.0496,0.0940,141
Enrolled,0.0000,0.0000,0.0000,80
Graduate,0.5104,1.0000,0.6758,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,7,1,133
Enrolled,1,0,79
Graduate,0,0,221
