Metric,Value
Overall Accuracy,0.6855
""
Macro Averaged Metrics,
Precision (Macro),0.6804
Recall (Macro),0.5613
F1-Score (Macro),0.5720
""
Weighted Averaged Metrics,
Precision (Weighted),0.7088
Recall (Weighted),0.6855
F1-Score (Weighted),0.6497
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.9296,0.4681,0.6226,141
Enrolled,0.4500,0.2250,0.3000,80
Graduate,0.6616,0.9910,0.7935,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,66,20,55
Enrolled,5,18,57
Graduate,0,2,219
