Metric,Value
Overall Accuracy,0.5090
""
Macro Averaged Metrics,
Precision (Macro),0.3364
Recall (Macro),0.3427
F1-Score (Macro),0.2427
""
Weighted Averaged Metrics,
Precision (Weighted),0.4152
Recall (Weighted),0.5090
F1-Score (Weighted),0.3545
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.5000,0.0282,0.0533,142
Enrolled,0.0000,0.0000,0.0000,79
Graduate,0.5092,1.0000,0.6748,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,4,0,138
Enrolled,4,0,75
Graduate,0,0,221
