Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Hard_Dropout,Soft_Dropout,Limit_Enrolled,Hard_Enrolled,Soft_Enrolled,Limit_Graduate,Hard_Graduate,Soft_Graduate
1,0.5375,0.843047,0.168570,0.000000,0.30,0.30,1,1,42,12,42.88,24,0,24.63,inf,430,374.49
3,0.6892,0.789243,0.361270,0.053533,0.30,0.30,0,0,42,81,88.71,24,0,25.70,inf,361,327.59
6,0.7063,0.762122,0.481371,0.072714,0.30,0.30,0,0,42,94,95.02,24,0,38.90,inf,348,308.08
9,0.7020,0.726939,0.510098,0.064667,0.30,0.30,0,0,42,91,93.68,24,1,43.70,inf,350,304.62
12,0.7224,0.734896,0.518146,0.094783,0.30,0.30,0,0,42,114,109.44,24,1,39.31,inf,327,293.25
15,0.7040,0.743042,0.394134,0.026782,0.30,0.30,0,0,42,93,97.33,24,0,28.82,inf,349,315.84
18,0.7191,0.728035,0.408536,0.066537,0.30,0.30,0,0,42,102,104.83,24,0,27.78,inf,340,309.38
21,0.6887,0.720259,0.300357,0.000000,0.30,0.30,0,1,42,83,84.95,24,0,24.03,inf,359,333.02
24,0.7078,0.744655,0.347802,0.019509,0.30,0.30,0,0,42,93,98.02,24,0,23.44,inf,349,320.55
27,0.7088,0.745171,0.360868,0.037976,0.30,0.30,0,0,42,94,96.76,24,0,25.97,inf,348,319.27
30,0.6924,0.724361,0.545240,0.000000,0.30,0.30,0,1,42,81,90.80,24,0,22.14,inf,361,329.06
33,0.5869,0.707947,0.191766,0.000000,0.30,0.30,0,1,42,40,44.09,24,1,24.97,inf,401,372.93
