Metric,Value
Overall Accuracy,0.5905
""
Macro Averaged Metrics,
Precision (Macro),0.6225
Recall (Macro),0.4459
F1-Score (Macro),0.4219
""
Weighted Averaged Metrics,
Precision (Weighted),0.6399
Recall (Weighted),0.5905
F1-Score (Weighted),0.5092
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8571,0.2128,0.3409,141
Enrolled,0.4348,0.1250,0.1942,80
Graduate,0.5755,1.0000,0.7306,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,30,13,98
Enrolled,5,10,65
Graduate,0,0,221
