epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lambda_g
0,0.003731,0.0,180,0,0.449994
1,0.000924,115.695263,238,0,1.039672
2,nan,266.763414,238,0,1.62935
3,nan,417.831547,238,0,2.219027
4,nan,568.899681,238,0,2.808705
5,nan,719.967842,238,0,3.398383
6,nan,871.035988,238,0,3.988061
7,nan,1022.104095,238,0,4.577738
8,nan,1173.172279,238,0,5.167416
9,nan,1324.240425,238,0,5.757094
10,nan,1475.308594,238,0,6.346771
11,nan,1560.857117,224,0,6.898958
12,nan,1565.570763,190,0,7.382949
13,nan,1497.933907,150,0,7.779365
14,nan,1376.80648,120,0,8.08142
15,nan,1219.113457,74,0,8.289956
16,nan,1051.776871,40,0,8.412312
17,nan,889.314922,18,0,8.458801
18,nan,119.601691,2,0,8.458801
19,nan,0.0,0,1,8.458801
20,nan,0.0,0,1,8.458801
21,nan,0.0,0,1,8.458801
22,nan,0.0,0,1,8.458801
23,nan,0.0,0,1,8.458801
