Metric,Value
Overall Accuracy,0.5747
""
Macro Averaged Metrics,
Precision (Macro),0.6540
Recall (Macro),0.4312
F1-Score (Macro),0.3998
""
Weighted Averaged Metrics,
Precision (Weighted),0.6546
Recall (Weighted),0.5747
F1-Score (Weighted),0.4822
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8800,0.1560,0.2651,141
Enrolled,0.5238,0.1375,0.2178,80
Graduate,0.5581,1.0000,0.7164,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,22,10,109
Enrolled,3,11,66
Graduate,0,0,221
