path,model,constraint,learning_rate,lambda_strategy,lambda_global,lambda_local,lambda_step,batch_size,warmup_epochs,max_epochs,constraint_threshold,status,converged,final_epoch,global_constraint_satisfied,local_constraint_satisfied,test_accuracy,,,,
TabularResNet\constraint_0.8_0.2\lr_lambda_test\lr_0.0005_lambda_linear,TabularResNet,0.8_0.2,0.0005,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,162,TRUE,TRUE,0.6335,,,,
TabularResNet\constraint_0.8_0.2\lr_lambda_test\lr_0.0005_lambda_transfer,TabularResNet,0.8_0.2,0.0005,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,141,TRUE,TRUE,0.6674,,,,
TabularResNet\constraint_0.8_0.2\lr_lambda_test\lr_0.001_lambda_balanced,TabularResNet,0.8_0.2,0.001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,118,TRUE,TRUE,0.638,,,,
TabularResNet\constraint_0.8_0.2\lr_lambda_test\lr_0.001_lambda_combined,TabularResNet,0.8_0.2,0.001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,132,TRUE,TRUE,0.6041,,,,
TabularResNet\constraint_0.8_0.2\lr_lambda_test\lr_0.001_lambda_linear,TabularResNet,0.8_0.2,0.001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,116,TRUE,TRUE,0.6652,,,,
TabularResNet\constraint_0.8_0.2\lr_lambda_test\lr_0.001_lambda_transfer,TabularResNet,0.8_0.2,0.001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,109,TRUE,TRUE,0.6403,,,,
TabularResNet\constraint_0.8_0.2\lr_lambda_test\lr_5e-05_lambda_balanced,TabularResNet,0.8_0.2,5.00E-05,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,608,TRUE,TRUE,0.552,,,,
TabularResNet\constraint_0.8_0.2\lr_lambda_test\lr_5e-05_lambda_combined,TabularResNet,0.8_0.2,5.00E-05,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,740,TRUE,TRUE,0.5543,,,,
TabularResNet\constraint_0.8_0.2\lr_lambda_test\lr_5e-05_lambda_linear,TabularResNet,0.8_0.2,5.00E-05,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,716,TRUE,TRUE,0.5543,,,,
TabularResNet\constraint_0.8_0.2\lr_lambda_test\lr_5e-05_lambda_transfer,TabularResNet,0.8_0.2,5.00E-05,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,729,TRUE,TRUE,0.5362,,,,
TabularResNet\constraint_0.9_0.8\lr_lambda_test\lr_0.0001_lambda_balanced,TabularResNet,0.9_0.8,0.0001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,207,TRUE,TRUE,0.7217,,,,
TabularResNet\constraint_0.9_0.8\lr_lambda_test\lr_0.0001_lambda_combined,TabularResNet,0.9_0.8,0.0001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,123,TRUE,TRUE,0.7217,,,,
TabularResNet\constraint_0.9_0.8\lr_lambda_test\lr_0.0001_lambda_linear,TabularResNet,0.9_0.8,0.0001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,149,TRUE,TRUE,0.7217,,,,
TabularResNet\constraint_0.9_0.8\lr_lambda_test\lr_0.0001_lambda_transfer,TabularResNet,0.9_0.8,0.0001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,183,TRUE,TRUE,0.7059,,,,
TabularResNet\constraint_0.9_0.8\lr_lambda_test\lr_0.0005_lambda_balanced,TabularResNet,0.9_0.8,0.0005,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,85,TRUE,TRUE,0.733,,,,
TabularResNet\constraint_0.9_0.8\lr_lambda_test\lr_0.0005_lambda_combined,TabularResNet,0.9_0.8,0.0005,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,83,TRUE,TRUE,0.7217,,,,
TabularResNet\constraint_0.9_0.8\lr_lambda_test\lr_0.0005_lambda_linear,TabularResNet,0.9_0.8,0.0005,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,83,TRUE,TRUE,0.7398,,,,
TabularResNet\constraint_0.9_0.8\lr_lambda_test\lr_0.0005_lambda_transfer,TabularResNet,0.9_0.8,0.0005,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,70,TRUE,TRUE,0.7466,,,,
TabularResNet\constraint_0.9_0.8\lr_lambda_test\lr_0.001_lambda_balanced,TabularResNet,0.9_0.8,0.001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,70,TRUE,TRUE,0.7353,,,,
TabularResNet\constraint_0.9_0.8\lr_lambda_test\lr_0.001_lambda_combined,TabularResNet,0.9_0.8,0.001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,66,TRUE,TRUE,0.7353,,,,
TabularResNet\constraint_0.9_0.8\lr_lambda_test\lr_0.001_lambda_linear,TabularResNet,0.9_0.8,0.001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,73,TRUE,TRUE,0.7308,,,,
TabularResNet\constraint_0.9_0.8\lr_lambda_test\lr_0.001_lambda_transfer,TabularResNet,0.9_0.8,0.001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,69,TRUE,TRUE,0.7421,,,,
TabularResNet\constraint_0.9_0.8\lr_lambda_test\lr_5e-05_lambda_balanced,TabularResNet,0.9_0.8,5.00E-05,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,123,TRUE,TRUE,0.7262,,,,
TabularResNet\constraint_0.9_0.8\lr_lambda_test\lr_5e-05_lambda_combined,TabularResNet,0.9_0.8,5.00E-05,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,164,TRUE,TRUE,0.69,,,,
TabularResNet\constraint_0.9_0.8\lr_lambda_test\lr_5e-05_lambda_linear,TabularResNet,0.9_0.8,5.00E-05,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,150,TRUE,TRUE,0.7217,,,,
TabularResNet\constraint_0.9_0.8\lr_lambda_test\lr_5e-05_lambda_transfer,TabularResNet,0.9_0.8,5.00E-05,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,139,TRUE,TRUE,0.7104,,,,
