Metric,Value
Overall Accuracy,0.5950
""
Macro Averaged Metrics,
Precision (Macro),0.6806
Recall (Macro),0.4503
F1-Score (Macro),0.4322
""
Weighted Averaged Metrics,
Precision (Weighted),0.6622
Recall (Weighted),0.5950
F1-Score (Weighted),0.5199
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8085,0.2676,0.4021,142
Enrolled,0.6667,0.1013,0.1758,79
Graduate,0.5666,0.9819,0.7185,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,38,2,102
Enrolled,7,8,64
Graduate,2,2,217
