Metric,Value
Overall Accuracy,0.5113
""
Macro Averaged Metrics,
Precision (Macro),0.8352
Recall (Macro),0.3469
F1-Score (Macro),0.2505
""
Weighted Averaged Metrics,
Precision (Weighted),0.7529
Recall (Weighted),0.5113
F1-Score (Weighted),0.3579
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,1.0000,0.0282,0.0548,142
Enrolled,1.0000,0.0127,0.0250,79
Graduate,0.5057,1.0000,0.6717,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,4,0,138
Enrolled,0,1,78
Graduate,0,0,221
