Epoch,Train_Acc,L_CE,L_Global,L_Local,L_KL,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Class0,Hard_Class0,Soft_Class0,Limit_Class1,Hard_Class1,Soft_Class1,Limit_Class2,Hard_Class2,Soft_Class2,Limit_Class3,Hard_Class3,Soft_Class3,Limit_Class4,Hard_Class4,Soft_Class4,Limit_Class5,Hard_Class5,Soft_Class5,Limit_Class6,Hard_Class6,Soft_Class6,Group0_Hard_Class4,Group0_Soft_Class4,Group0_Limit_Class4,Group1_Hard_Class4,Group1_Soft_Class4,Group1_Limit_Class4,Group2_Hard_Class4,Group2_Soft_Class4,Group2_Limit_Class4
51,0.9994,0.003731,0.250920,0.735883,0.000000,0.05,0.00,0,0,inf,67,68.53,inf,112,113.35,inf,208,205.78,inf,12,14.32,45,157,157.00,inf,1417,1415.16,inf,30,28.86,70,71.57,20,65,62.50,17,22,22.93,8
55,1.0000,0.000000,0.344893,1.013592,0.000000,0.06,0.00,0,0,inf,69,71.02,inf,102,103.06,inf,210,210.15,inf,12,13.23,45,143,147.37,inf,1440,1430.30,inf,27,27.87,64,67.27,20,56,57.81,17,23,22.29,8
60,1.0000,0.000000,0.105191,0.273767,0.000000,0.07,0.00,0,0,inf,70,72.03,inf,93,91.19,inf,225,227.49,inf,12,12.91,45,66,64.53,inf,1510,1507.12,inf,27,27.72,33,32.34,20,22,22.60,17,11,9.59,8
63,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,70,69.97,inf,78,79.09,inf,230,230.83,inf,12,12.29,45,33,31.23,inf,1553,1551.93,inf,27,27.66,15,14.93,20,13,11.92,17,5,4.38,8
64,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,71,69.22,inf,74,77.33,inf,231,231.01,inf,11,12.11,45,27,27.02,inf,1562,1558.67,inf,27,27.65,13,12.78,20,10,10.48,17,4,3.76,8
65,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,70,70.94,inf,82,81.86,inf,237,234.68,inf,12,12.60,45,40,36.50,inf,1535,1538.51,inf,27,27.91,20,17.58,20,15,13.72,17,5,5.20,8
70,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,75,75.82,inf,84,83.40,inf,235,232.99,inf,12,13.19,45,41,41.36,inf,1529,1528.23,inf,27,28.00,18,18.75,20,16,15.75,17,7,6.86,8
71,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,76,76.78,inf,83,82.44,inf,234,230.97,inf,12,13.24,45,41,40.71,inf,1530,1530.86,inf,27,27.99,18,18.06,20,16,15.69,17,7,6.96,8
72,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,77,77.56,inf,82,82.08,inf,233,229.32,inf,12,13.35,45,41,41.05,inf,1531,1531.65,inf,27,27.99,18,17.99,20,16,15.90,17,7,7.16,8
73,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,77,78.15,inf,81,82.17,inf,231,228.20,inf,12,13.51,45,41,42.01,inf,1534,1530.96,inf,27,28.00,18,18.30,20,16,16.31,17,7,7.39,8
