epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lam_g,max_u_g,h_u
0,0.00831,0.0,100,0,0.000241,2e-06,0.0
1,0.00416,4.7e-05,82,0,0.000448,6e-06,0.0
2,nan,8.8e-05,82,0,0.000653,1.2e-05,0.0
3,nan,0.000129,80,0,0.000857,1.8e-05,0.0
4,nan,0.000169,78,0,0.001058,2.5e-05,0.0
5,nan,0.000209,78,0,0.001259,3.3e-05,0.0
6,nan,0.000248,76,0,0.001457,4.1e-05,0.0
7,nan,0.000287,76,0,0.001655,4.9e-05,0.0
8,nan,0.000326,74,0,0.001851,5.8e-05,0.0
9,nan,0.000365,74,0,0.002045,6.7e-05,0.0
10,nan,0.000401,74,0,0.002237,7.6e-05,0.0
11,nan,0.000441,74,0,0.002427,8.5e-05,0.0
12,nan,0.000476,72,0,0.002615,9.4e-05,0.0
13,nan,0.000514,70,0,0.0028,0.000103,0.0
14,nan,0.000548,70,0,0.002982,0.000112,0.0
15,nan,0.000582,70,0,0.003162,0.000122,0.0
16,nan,0.000615,70,0,0.003339,0.000131,1e-06
17,nan,0.000642,68,0,0.003513,0.00014,1e-06
18,nan,0.000674,66,0,0.003682,0.000149,1e-06
19,nan,0.000702,64,0,0.003848,0.000157,1e-06
20,nan,0.000726,62,0,0.00401,0.000166,1e-06
21,nan,0.00075,60,0,0.004168,0.000174,1e-06
22,nan,0.000766,56,0,0.004321,0.000183,1e-06
23,nan,0.000794,54,0,0.00447,0.000191,1e-06
24,nan,0.000813,54,0,0.004614,0.000199,1e-06
25,nan,0.000831,54,0,0.004753,0.000207,1e-06
26,nan,0.000847,54,0,0.004887,0.000214,1e-06
27,nan,0.000862,46,0,0.005016,0.000221,1e-06
28,nan,0.000877,44,0,0.00514,0.000229,2e-06
29,nan,0.000883,44,0,0.005258,0.000235,2e-06
30,nan,0.000901,44,0,0.005371,0.000242,2e-06
31,nan,0.000902,38,0,0.005479,0.000248,2e-06
32,nan,0.000909,36,0,0.00558,0.000255,2e-06
33,nan,0.000901,30,0,0.005676,0.00026,2e-06
34,nan,0.000908,28,0,0.005766,0.000266,2e-06
35,nan,0.000911,26,0,0.005851,0.000271,2e-06
36,nan,0.000907,24,0,0.005929,0.000276,2e-06
37,nan,0.00091,24,0,0.006002,0.000281,2e-06
38,nan,0.000895,20,0,0.006069,0.000286,2e-06
39,nan,0.000888,18,0,0.00613,0.00029,3e-06
40,nan,0.00089,16,0,0.006186,0.000294,3e-06
41,nan,0.000881,16,0,0.006235,0.000297,3e-06
42,nan,0.000872,12,0,0.006279,0.000301,3e-06
43,nan,0.000852,12,0,0.006317,0.000304,3e-06
44,nan,0.000845,12,0,0.00635,0.000306,3e-06
45,nan,0.000842,9,0,0.006377,0.000309,3e-06
46,nan,0.000835,8,0,0.006398,0.000311,3e-06
47,nan,0.000823,6,0,0.006414,0.000313,3e-06
48,nan,0.000808,5,0,0.006424,0.000315,3e-06
49,nan,0.000796,3,0,0.006429,0.000316,3e-06
50,nan,0.000785,0,1,0.006429,0.000317,3e-06
51,nan,0.000763,0,1,0.006424,0.000318,3e-06
52,nan,0.000745,0,1,0.006414,0.000318,3e-06
53,nan,0.000734,0,1,0.0064,0.000319,3e-06
54,nan,0.000721,0,1,0.006381,0.000319,3e-06
