Metric,Value
Overall Accuracy,0.5068
""
Macro Averaged Metrics,
Precision (Macro),0.6686
Recall (Macro),0.3439
F1-Score (Macro),0.2494
""
Weighted Averaged Metrics,
Precision (Weighted),0.5923
Recall (Weighted),0.5068
F1-Score (Weighted),0.3565
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.5000,0.0282,0.0533,142
Enrolled,1.0000,0.0127,0.0250,79
Graduate,0.5058,0.9910,0.6697,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,4,0,138
Enrolled,2,1,76
Graduate,2,0,219
