Metric,Value
Overall Accuracy,0.5633
""
Macro Averaged Metrics,
Precision (Macro),0.5916
Recall (Macro),0.4165
F1-Score (Macro),0.3804
""
Weighted Averaged Metrics,
Precision (Weighted),0.6111
Recall (Weighted),0.5633
F1-Score (Weighted),0.4703
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8214,0.1631,0.2722,141
Enrolled,0.4000,0.1000,0.1600,80
Graduate,0.5533,0.9864,0.7089,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,23,10,108
Enrolled,4,8,68
Graduate,1,2,218
