Epoch,Train_Acc,L_CE,L_Global,L_Local,L_KL,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Class0,Hard_Class0,Soft_Class0,Limit_Class1,Hard_Class1,Soft_Class1,Limit_Class2,Hard_Class2,Soft_Class2,Limit_Class3,Hard_Class3,Soft_Class3,Limit_Class4,Hard_Class4,Soft_Class4,Limit_Class5,Hard_Class5,Soft_Class5,Limit_Class6,Hard_Class6,Soft_Class6,Limit_Class7,Hard_Class7,Soft_Class7,Group0_Hard_Class4,Group0_Soft_Class4,Group0_Limit_Class4,Group1_Hard_Class4,Group1_Soft_Class4,Group1_Limit_Class4
51,0.9954,0.013257,0.254236,0.508270,0.000000,0.05,0.00,0,0,inf,655,649.47,inf,31,40.61,inf,132,132.44,inf,162,156.52,51,179,184.29,inf,222,222.27,inf,806,789.49,inf,213,224.90,84,88.42,25,95,95.87,26
55,1.0000,0.000000,0.328126,0.655668,0.000000,0.06,0.00,0,0,inf,799,795.85,inf,37,47.12,inf,158,155.87,inf,161,154.89,51,152,151.97,inf,233,233.00,inf,663,660.84,inf,197,200.46,71,72.59,25,81,79.38,26
60,1.0000,0.000000,0.378482,0.756610,0.000000,0.07,0.00,0,0,inf,827,825.09,inf,38,46.54,inf,169,164.46,inf,171,165.03,51,114,118.48,inf,247,241.42,inf,641,642.96,inf,193,196.01,55,57.42,25,59,61.06,26
65,1.0000,0.000000,0.217840,0.435131,0.000000,0.08,0.00,0,0,inf,867,864.07,inf,36,44.88,inf,175,172.08,inf,175,176.11,51,80,80.98,inf,262,253.04,inf,625,620.20,inf,180,188.64,40,39.04,25,40,41.94,26
70,1.0000,0.000000,0.000000,0.000000,0.000000,0.09,0.00,1,0,inf,910,905.58,inf,28,41.44,inf,175,177.08,inf,188,186.33,51,49,50.10,inf,280,268.06,inf,598,591.84,inf,172,179.57,22,24.21,25,27,25.88,26
71,1.0000,0.000000,0.000000,0.000000,0.000000,0.09,0.00,1,1,inf,917,911.95,inf,27,40.59,inf,175,177.56,inf,192,188.19,51,46,45.94,inf,281,270.28,inf,592,587.37,inf,170,178.11,22,22.47,25,24,23.47,26
72,1.0000,0.000000,0.000000,0.000000,0.000000,0.09,0.00,1,1,inf,922,917.11,inf,26,39.96,inf,175,177.93,inf,192,189.32,51,45,43.01,inf,281,272.66,inf,588,583.12,inf,171,176.89,22,21.20,25,23,21.81,26
75,1.0000,0.000000,0.000000,0.000000,0.000000,0.09,0.00,1,1,inf,919,912.22,inf,30,41.47,inf,177,180.53,inf,186,183.63,51,48,48.57,inf,282,270.82,inf,582,579.68,inf,176,183.08,22,23.46,25,26,25.12,26
80,1.0000,0.000000,0.000000,0.000000,0.000000,0.09,0.00,1,0,inf,924,921.73,inf,32,43.31,inf,177,178.81,inf,184,181.51,51,50,49.92,inf,273,262.78,inf,586,580.73,inf,174,181.21,23,24.18,25,27,25.74,26
85,1.0000,0.000000,0.002782,0.005653,0.000000,0.09,0.00,1,0,inf,929,928.35,inf,34,45.14,inf,178,175.65,inf,185,180.60,51,51,52.28,inf,260,252.01,inf,594,588.36,inf,169,177.61,24,25.45,25,27,26.82,26
90,1.0000,0.000000,0.002703,0.005406,0.000000,0.09,0.00,1,0,inf,936,933.21,inf,35,45.73,inf,177,173.33,inf,183,181.22,51,51,52.25,inf,252,245.71,inf,598,593.69,inf,168,174.87,24,25.64,25,27,26.61,26
93,1.0000,0.000000,0.000000,0.000000,0.000000,0.09,0.00,1,1,inf,939,936.08,inf,35,45.49,inf,177,173.50,inf,184,182.44,51,49,49.66,inf,253,245.37,inf,601,594.76,inf,162,172.70,23,24.59,25,26,25.07,26
94,1.0000,0.000000,0.000000,0.000000,0.000000,0.09,0.00,1,1,inf,939,937.30,inf,35,45.50,inf,177,173.33,inf,186,182.82,51,48,49.04,inf,253,244.67,inf,601,595.16,inf,161,172.18,23,24.34,25,25,24.70,26
95,1.0000,0.000000,0.000000,0.000000,0.000000,0.09,0.00,1,1,inf,942,937.83,inf,35,45.70,inf,176,172.88,inf,186,183.05,51,48,49.63,inf,251,243.08,inf,601,595.79,inf,161,172.04,23,24.61,25,25,25.02,26
98,1.0000,0.000000,0.000000,0.000319,0.000000,0.09,0.00,1,1,inf,949,940.42,inf,35,46.09,inf,176,172.50,inf,185,183.25,51,49,50.68,inf,249,241.92,inf,598,593.88,inf,159,171.26,23,25.09,25,26,25.59,26
99,1.0000,0.000000,0.000000,0.000000,0.000000,0.09,0.00,1,1,inf,948,942.12,inf,36,45.89,inf,176,173.25,inf,187,183.16,51,48,49.61,inf,252,244.43,inf,594,590.71,inf,159,170.83,23,24.57,25,25,25.05,26
100,1.0000,0.000000,0.000000,0.000000,0.000000,0.09,0.00,1,1,inf,947,942.19,inf,37,45.91,inf,177,173.96,inf,187,182.69,51,48,49.75,inf,251,245.99,inf,593,588.71,inf,160,170.79,23,24.58,25,25,25.16,26
105,1.0000,0.000000,0.000000,0.000000,0.000000,0.09,0.00,0,0,inf,948,944.07,inf,36,45.85,inf,180,178.04,inf,182,180.30,51,52,49.22,inf,264,258.75,inf,572,572.17,inf,166,171.60,24,24.08,25,28,25.15,26
110,1.0000,0.000000,0.000000,0.000000,0.000000,0.09,0.00,0,0,inf,942,941.28,inf,37,45.83,inf,179,179.18,inf,182,178.87,51,52,49.64,inf,275,263.57,inf,567,567.35,inf,166,174.28,24,24.19,25,28,25.45,26
