epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lambda_g
0,0.00831,0.0,100,0,0.28931
1,0.00416,68.036225,82,0,0.537605
2,nan,125.945062,74,0,0.774827
3,nan,176.080979,66,0,0.993792
4,nan,217.495748,60,0,1.189931
5,nan,250.117031,50,0,1.358827
6,nan,269.470854,40,0,1.49803
7,nan,278.353587,26,0,1.605885
8,nan,277.968361,22,0,1.681134
9,nan,267.350983,12,0,1.724624
10,nan,206.84398,3,0,1.73685
11,nan,34.177113,0,1,1.73685
12,nan,0.0,0,1,1.73685
13,nan,0.0,0,1,1.73685
14,nan,0.0,0,1,1.73685
15,nan,0.0,0,1,1.73685
