Metric,Value
Overall Accuracy,0.5679
""
Macro Averaged Metrics,
Precision (Macro),0.6408
Recall (Macro),0.4168
F1-Score (Macro),0.3806
""
Weighted Averaged Metrics,
Precision (Weighted),0.6606
Recall (Weighted),0.5679
F1-Score (Weighted),0.4746
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,1.0000,0.1844,0.3114,141
Enrolled,0.3750,0.0750,0.1250,80
Graduate,0.5475,0.9910,0.7053,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,26,8,107
Enrolled,0,6,74
Graduate,0,2,219
