Metric,Value
Overall Accuracy,0.5973
""
Macro Averaged Metrics,
Precision (Macro),0.6260
Recall (Macro),0.4555
F1-Score (Macro),0.4410
""
Weighted Averaged Metrics,
Precision (Weighted),0.6513
Recall (Weighted),0.5973
F1-Score (Weighted),0.5291
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.9286,0.2766,0.4262,141
Enrolled,0.3750,0.1125,0.1731,80
Graduate,0.5745,0.9774,0.7236,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,39,11,91
Enrolled,2,9,69
Graduate,1,4,216
