epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lambda_g
0,0.008991,0.0,262,0,0.650008
1,0.003481,168.953323,288,0,1.368713
2,nan,356.361317,288,0,2.087418
3,nan,543.769329,288,0,2.806124
4,nan,731.177315,288,0,3.524829
5,nan,918.585258,288,0,4.243535
6,nan,1105.99321,288,0,4.96224
7,nan,1293.401237,288,0,5.680946
8,nan,1480.809265,288,0,6.399651
9,nan,1668.217209,288,0,7.118357
10,nan,1855.625259,288,0,7.837062
11,nan,1999.657791,282,0,8.535952
12,nan,2096.504532,264,0,9.199968
13,nan,2141.582474,244,0,9.816867
14,nan,2135.780167,224,0,10.377948
15,nan,2084.211014,194,0,10.878288
16,nan,1997.186264,172,0,11.316095
17,nan,1885.097,154,0,11.691361
18,nan,1948.070892,154,0,12.066626
19,nan,1807.543396,122,0,12.380797
20,nan,1658.952896,92,0,12.637136
21,nan,1508.392883,76,0,12.84119
22,nan,1366.412407,58,0,12.998912
23,nan,1229.598198,46,0,13.11496
24,nan,1091.107262,30,0,13.190259
25,nan,926.638382,9,0,13.222404
26,nan,81.723254,0,1,13.222404
27,nan,0.0,0,1,13.222404
28,nan,0.0,0,1,13.222404
29,nan,0.0,0,1,13.222404
30,nan,0.0,0,1,13.222404
