Metric,Value
Overall Accuracy,0.7127
""
Macro Averaged Metrics,
Precision (Macro),0.6524
Recall (Macro),0.5922
F1-Score (Macro),0.5998
""
Weighted Averaged Metrics,
Precision (Weighted),0.7013
Recall (Weighted),0.7127
F1-Score (Weighted),0.6852
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8660,0.5957,0.7059,141
Enrolled,0.3778,0.2125,0.2720,80
Graduate,0.7133,0.9683,0.8215,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,84,22,35
Enrolled,12,17,51
Graduate,1,6,214
