Metric,Value
Overall Accuracy,0.5633
""
Macro Averaged Metrics,
Precision (Macro),0.5643
Recall (Macro),0.4067
F1-Score (Macro),0.3607
""
Weighted Averaged Metrics,
Precision (Weighted),0.6058
Recall (Weighted),0.5633
F1-Score (Weighted),0.4627
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8889,0.1702,0.2857,141
Enrolled,0.2500,0.0500,0.0833,80
Graduate,0.5539,1.0000,0.7129,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,24,12,105
Enrolled,3,4,73
Graduate,0,0,221
