Epoch,Train_Acc,L_CE,L_Global,L_Local,L_KL,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Class0,Hard_Class0,Soft_Class0,Limit_Class1,Hard_Class1,Soft_Class1,Limit_Class2,Hard_Class2,Soft_Class2,Limit_Class3,Hard_Class3,Soft_Class3,Limit_Class4,Hard_Class4,Soft_Class4,Limit_Class5,Hard_Class5,Soft_Class5,Limit_Class6,Hard_Class6,Soft_Class6,Group0_Hard_Class4,Group0_Soft_Class4,Group0_Limit_Class4,Group1_Hard_Class4,Group1_Soft_Class4,Group1_Limit_Class4,Group2_Hard_Class4,Group2_Soft_Class4,Group2_Limit_Class4
51,0.9990,0.003680,0.235673,0.703749,0.000000,0.05,0.00,0,0,inf,68,71.54,inf,109,106.32,inf,221,212.56,inf,20,19.86,67,198,204.54,inf,1358,1360.12,inf,29,28.05,91,93.22,29,71,75.35,26,36,35.97,12
55,1.0000,0.000000,0.290348,0.856658,0.000000,0.06,0.00,0,0,inf,64,65.89,inf,117,111.98,inf,221,218.37,inf,18,19.82,67,165,169.88,inf,1389,1388.47,inf,29,28.59,72,76.95,29,66,64.56,26,27,28.37,12
60,1.0000,0.000000,0.229305,0.616402,0.000000,0.07,0.00,0,0,inf,63,64.32,inf,118,114.51,inf,223,223.80,inf,18,19.65,67,118,118.79,inf,1433,1433.03,inf,30,28.89,55,53.24,29,47,48.20,26,16,17.35,12
65,1.0000,0.000000,0.003509,0.033042,0.000000,0.08,0.00,0,0,inf,64,62.30,inf,115,113.66,inf,225,226.40,inf,19,20.16,67,69,69.33,inf,1482,1482.26,inf,29,28.89,34,32.30,29,27,28.75,26,8,8.27,12
67,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,1,1,inf,59,61.73,inf,118,113.20,inf,227,225.28,inf,19,20.60,67,59,55.19,inf,1493,1498.09,inf,28,28.91,28,26.24,29,24,23.01,26,7,5.94,12
68,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,1,1,inf,59,61.28,inf,116,112.80,inf,225,224.86,inf,19,20.75,67,57,50.91,inf,1499,1503.46,inf,28,28.92,27,24.04,29,24,21.50,26,6,5.37,12
70,1.0000,0.000000,0.000000,0.009096,0.000000,0.08,0.00,1,0,inf,61,61.71,inf,117,112.91,inf,225,225.05,inf,19,20.48,67,66,65.12,inf,1486,1488.78,inf,29,28.95,33,30.56,29,26,26.67,26,7,7.89,12
75,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,1,0,inf,60,59.85,inf,116,111.94,inf,211,216.25,inf,20,21.69,67,65,62.71,inf,1503,1501.63,inf,28,28.93,31,28.37,29,24,24.83,26,10,9.51,12
80,1.0000,0.000000,0.000000,0.001389,0.000000,0.08,0.00,1,0,inf,57,59.18,inf,116,111.48,inf,205,209.78,inf,21,22.67,67,66,66.96,inf,1510,1504.08,inf,28,28.86,31,29.29,29,24,26.15,26,11,11.51,12
85,1.0000,0.000000,0.000240,0.004825,0.000000,0.08,0.00,1,0,inf,55,58.60,inf,115,111.10,inf,204,205.03,inf,23,23.41,67,67,67.20,inf,1511,1508.86,inf,28,28.80,31,28.61,29,24,26.06,26,12,12.52,12
90,1.0000,0.000000,0.000000,0.000823,0.000000,0.08,0.00,1,0,inf,56,58.99,inf,116,112.13,inf,205,208.18,inf,22,22.94,67,66,66.97,inf,1510,1504.96,inf,28,28.84,31,29.07,29,24,26.19,26,11,11.71,12
95,1.0000,0.000000,0.000373,0.001822,0.000000,0.08,0.00,1,0,inf,57,58.98,inf,116,112.54,inf,205,208.33,inf,22,22.97,67,66,67.30,inf,1509,1504.03,inf,28,28.85,31,29.51,29,24,26.05,26,11,11.74,12
100,1.0000,0.000000,0.000326,0.001251,0.000000,0.08,0.00,1,0,inf,55,58.83,inf,117,113.23,inf,203,205.86,inf,23,23.21,67,67,67.26,inf,1510,1505.77,inf,28,28.83,31,29.14,29,24,26.00,26,12,12.12,12
105,1.0000,0.000000,0.000124,0.000788,0.000000,0.08,0.00,1,0,inf,55,58.90,inf,117,113.91,inf,203,206.18,inf,23,23.09,67,66,67.10,inf,1511,1505.00,inf,28,28.82,30,28.88,29,24,26.21,26,12,12.01,12
110,1.0000,0.000000,0.000000,0.000132,0.000000,0.08,0.00,1,0,inf,55,58.88,inf,117,113.97,inf,204,206.94,inf,23,23.01,67,66,66.81,inf,1510,1504.54,inf,28,28.85,30,29.05,29,24,25.92,26,12,11.85,12
115,1.0000,0.000000,0.000000,0.000025,0.000000,0.08,0.00,1,0,inf,55,58.86,inf,117,114.41,inf,203,205.90,inf,23,23.10,67,66,66.68,inf,1511,1505.22,inf,28,28.83,30,28.73,29,24,25.94,26,12,12.00,12
