epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lambda_g
0,0.002941,0.0,230,0,0.594242
1,0.001614,143.510124,204,0,1.125934
2,nan,272.233175,204,0,1.657626
3,nan,400.956249,204,0,2.189319
4,nan,529.679279,204,0,2.721011
5,nan,658.402344,204,0,3.252703
6,nan,787.125443,204,0,3.784396
7,nan,915.848457,204,0,4.316088
8,nan,1044.571571,204,0,4.84778
9,nan,1173.294556,204,0,5.379473
10,nan,1302.017624,204,0,5.911165
11,nan,1430.740723,204,0,6.442857
12,nan,1516.529907,200,0,6.951036
13,nan,1557.538223,182,0,7.418749
14,nan,1554.514954,168,0,7.834172
15,nan,1506.444168,132,0,8.187516
16,nan,1419.276489,118,0,8.472878
17,nan,1289.999939,84,0,8.683256
18,nan,1127.521065,56,0,8.813295
19,nan,1144.665314,56,0,8.943334
20,nan,947.535419,25,0,8.991395
21,nan,0.0,2,0,8.991395
22,nan,0.0,2,0,8.991395
23,nan,0.0,2,0,8.991395
24,nan,0.0,2,0,8.991395
25,nan,0.0,2,0,8.991395
26,nan,0.0,2,0,8.991395
27,nan,0.0,2,0,8.991395
28,nan,0.0,2,0,8.991395
29,nan,0.0,2,0,8.991395
30,nan,0.0,2,0,8.991395
31,nan,0.0,2,0,8.991395
32,nan,0.0,2,0,8.991395
33,nan,0.0,2,0,8.991395
34,nan,0.0,2,0,8.991395
35,nan,0.0,2,0,8.991395
36,nan,0.0,2,0,8.991395
37,nan,0.0,2,0,8.991395
38,nan,0.0,2,0,8.991395
39,nan,0.0,2,0,8.991395
40,nan,0.0,2,0,8.991395
41,nan,0.0,2,0,8.991395
42,nan,0.0,2,0,8.991395
43,nan,0.0,2,0,8.991395
44,nan,0.0,2,0,8.991395
45,nan,0.0,2,0,8.991395
46,nan,0.0,2,0,8.991395
47,nan,0.0,2,0,8.991395
48,nan,0.0,2,0,8.991395
49,nan,0.0,2,0,8.991395
50,nan,0.0,2,0,8.991395
51,nan,0.0,2,0,8.991395
52,nan,0.0,2,0,8.991395
53,nan,0.0,2,0,8.991395
54,nan,0.0,2,0,8.991395
55,nan,0.0,2,0,8.991395
56,nan,0.0,2,0,8.991395
57,nan,0.0,2,0,8.991395
58,nan,0.0,2,0,8.991395
59,nan,0.0,2,0,8.991395
60,nan,0.0,2,0,8.991395
61,nan,0.0,2,0,8.991395
62,nan,0.0,2,0,8.991395
63,nan,0.0,2,0,8.991395
64,nan,0.0,2,0,8.991395
65,nan,0.0,2,0,8.991395
66,nan,0.0,2,0,8.991395
67,nan,0.0,2,0,8.991395
68,nan,0.0,2,0,8.991395
69,nan,0.0,2,0,8.991395
70,nan,0.0,2,0,8.991395
71,nan,0.0,2,0,8.991395
72,nan,0.0,2,0,8.991395
73,nan,0.0,2,0,8.991395
74,nan,0.0,2,0,8.991395
75,nan,0.0,2,0,8.991395
76,nan,0.0,2,0,8.991395
77,nan,0.0,2,0,8.991395
78,nan,0.0,2,0,8.991395
79,nan,0.0,2,0,8.991395
80,nan,0.0,2,0,8.991395
81,nan,0.0,2,0,8.991395
82,nan,0.0,2,0,8.991395
83,nan,0.0,2,0,8.991395
84,nan,0.0,2,0,8.991395
85,nan,0.0,2,0,8.991395
86,nan,0.0,2,0,8.991395
87,nan,0.0,2,0,8.991395
88,nan,0.0,2,0,8.991395
89,nan,0.0,2,0,8.991395
90,nan,0.0,2,0,8.991395
91,nan,0.0,2,0,8.991395
92,nan,0.0,2,0,8.991395
93,nan,0.0,2,0,8.991395
94,nan,0.0,2,0,8.991395
95,nan,0.0,2,0,8.991395
96,nan,0.0,2,0,8.991395
97,nan,0.0,2,0,8.991395
98,nan,0.0,2,0,8.991395
99,nan,0.0,2,0,8.991395
100,nan,0.0,2,0,8.991395
101,nan,0.0,2,0,8.991395
102,nan,0.0,2,0,8.991395
103,nan,0.0,2,0,8.991395
104,nan,0.0,2,0,8.991395
105,nan,0.0,2,0,8.991395
106,nan,0.0,2,0,8.991395
107,nan,0.0,2,0,8.991395
108,nan,0.0,2,0,8.991395
109,nan,0.0,2,0,8.991395
110,nan,0.0,2,0,8.991395
111,nan,0.0,2,0,8.991395
112,nan,0.0,2,0,8.991395
113,nan,0.0,2,0,8.991395
114,nan,0.0,2,0,8.991395
115,nan,0.0,2,0,8.991395
116,nan,0.0,2,0,8.991395
117,nan,0.0,2,0,8.991395
118,nan,0.0,2,0,8.991395
119,nan,0.0,2,0,8.991395
120,nan,0.0,2,0,8.991395
121,nan,0.0,2,0,8.991395
122,nan,0.0,2,0,8.991395
123,nan,0.0,2,0,8.991395
124,nan,0.0,2,0,8.991395
125,nan,0.0,2,0,8.991395
126,nan,0.0,2,0,8.991395
127,nan,0.0,2,0,8.991395
128,nan,0.0,2,0,8.991395
129,nan,0.0,2,0,8.991395
130,nan,0.0,2,0,8.991395
131,nan,0.0,2,0,8.991395
132,nan,0.0,2,0,8.991395
133,nan,0.0,2,0,8.991395
134,nan,0.0,2,0,8.991395
135,nan,0.0,2,0,8.991395
136,nan,0.0,2,0,8.991395
137,nan,0.0,2,0,8.991395
138,nan,0.0,2,0,8.991395
139,nan,0.0,2,0,8.991395
140,nan,0.0,2,0,8.991395
141,nan,0.0,2,0,8.991395
142,nan,0.0,2,0,8.991395
143,nan,0.0,2,0,8.991395
144,nan,0.0,2,0,8.991395
145,nan,0.0,2,0,8.991395
146,nan,0.0,2,0,8.991395
147,nan,0.0,2,0,8.991395
148,nan,0.0,2,0,8.991395
149,nan,0.0,2,0,8.991395
150,nan,0.0,2,0,8.991395
151,nan,0.0,2,0,8.991395
152,nan,0.0,2,0,8.991395
153,nan,0.0,2,0,8.991395
154,nan,0.0,2,0,8.991395
155,nan,0.0,2,0,8.991395
156,nan,0.0,2,0,8.991395
157,nan,0.0,2,0,8.991395
158,nan,0.0,2,0,8.991395
159,nan,0.0,2,0,8.991395
160,nan,0.0,2,0,8.991395
161,nan,0.0,2,0,8.991395
162,nan,0.0,2,0,8.991395
163,nan,0.0,2,0,8.991395
164,nan,0.0,2,0,8.991395
165,nan,0.0,2,0,8.991395
166,nan,0.0,2,0,8.991395
167,nan,0.0,2,0,8.991395
168,nan,0.0,2,0,8.991395
169,nan,0.0,2,0,8.991395
170,nan,0.0,2,0,8.991395
171,nan,0.0,2,0,8.991395
172,nan,0.0,2,0,8.991395
173,nan,0.0,2,0,8.991395
174,nan,0.0,2,0,8.991395
175,nan,0.0,2,0,8.991395
176,nan,0.0,2,0,8.991395
177,nan,0.0,2,0,8.991395
178,nan,0.0,2,0,8.991395
179,nan,0.0,2,0,8.991395
180,nan,0.0,2,0,8.991395
181,nan,0.0,2,0,8.991395
182,nan,0.0,2,0,8.991395
183,nan,0.0,2,0,8.991395
184,nan,0.0,2,0,8.991395
185,nan,0.0,2,0,8.991395
186,nan,0.0,2,0,8.991395
187,nan,0.0,2,0,8.991395
188,nan,0.0,2,0,8.991395
189,nan,0.0,2,0,8.991395
190,nan,0.0,2,0,8.991395
191,nan,0.0,2,0,8.991395
192,nan,0.0,2,0,8.991395
193,nan,0.0,2,0,8.991395
194,nan,0.0,2,0,8.991395
195,nan,0.0,2,0,8.991395
196,nan,0.0,2,0,8.991395
197,nan,0.0,2,0,8.991395
198,nan,0.0,2,0,8.991395
199,nan,0.0,2,0,8.991395
200,nan,0.0,2,0,8.991395
201,nan,0.0,2,0,8.991395
202,nan,0.0,2,0,8.991395
203,nan,0.0,2,0,8.991395
204,nan,0.0,2,0,8.991395
205,nan,0.0,2,0,8.991395
206,nan,0.0,2,0,8.991395
207,nan,0.0,2,0,8.991395
208,nan,0.0,2,0,8.991395
209,nan,0.0,2,0,8.991395
210,nan,0.0,2,0,8.991395
211,nan,0.0,2,0,8.991395
212,nan,0.0,2,0,8.991395
213,nan,0.0,2,0,8.991395
214,nan,0.0,2,0,8.991395
215,nan,0.0,2,0,8.991395
216,nan,0.0,2,0,8.991395
217,nan,0.0,2,0,8.991395
218,nan,0.0,2,0,8.991395
219,nan,0.0,2,0,8.991395
220,nan,0.0,2,0,8.991395
221,nan,0.0,2,0,8.991395
222,nan,0.0,2,0,8.991395
223,nan,0.0,2,0,8.991395
224,nan,0.0,2,0,8.991395
225,nan,0.0,2,0,8.991395
226,nan,0.0,2,0,8.991395
227,nan,0.0,2,0,8.991395
228,nan,0.0,2,0,8.991395
229,nan,0.0,2,0,8.991395
230,nan,0.0,2,0,8.991395
231,nan,0.0,2,0,8.991395
232,nan,0.0,2,0,8.991395
233,nan,0.0,2,0,8.991395
234,nan,0.0,2,0,8.991395
235,nan,0.0,2,0,8.991395
236,nan,0.0,2,0,8.991395
237,nan,0.0,2,0,8.991395
238,nan,0.0,2,0,8.991395
239,nan,0.0,2,0,8.991395
240,nan,0.0,2,0,8.991395
241,nan,0.0,2,0,8.991395
242,nan,0.0,2,0,8.991395
243,nan,0.0,2,0,8.991395
244,nan,0.0,2,0,8.991395
245,nan,0.0,2,0,8.991395
246,nan,0.0,2,0,8.991395
247,nan,0.0,2,0,8.991395
248,nan,0.0,2,0,8.991395
249,nan,0.0,2,0,8.991395
250,nan,0.0,2,0,8.991395
251,nan,0.0,2,0,8.991395
252,nan,0.0,2,0,8.991395
253,nan,0.0,2,0,8.991395
254,nan,0.0,2,0,8.991395
255,nan,0.0,2,0,8.991395
256,nan,0.0,2,0,8.991395
257,nan,0.0,2,0,8.991395
258,nan,0.0,2,0,8.991395
259,nan,0.0,2,0,8.991395
260,nan,0.0,2,0,8.991395
261,nan,0.0,2,0,8.991395
262,nan,0.0,2,0,8.991395
263,nan,0.0,2,0,8.991395
264,nan,0.0,2,0,8.991395
265,nan,0.0,2,0,8.991395
266,nan,0.0,2,0,8.991395
267,nan,0.0,2,0,8.991395
268,nan,0.0,2,0,8.991395
269,nan,0.0,2,0,8.991395
270,nan,0.0,2,0,8.991395
271,nan,0.0,2,0,8.991395
272,nan,0.0,2,0,8.991395
273,nan,0.0,2,0,8.991395
274,nan,0.0,2,0,8.991395
275,nan,0.0,2,0,8.991395
276,nan,0.0,2,0,8.991395
277,nan,0.0,2,0,8.991395
278,nan,0.0,2,0,8.991395
279,nan,0.0,2,0,8.991395
280,nan,0.0,2,0,8.991395
281,nan,0.0,2,0,8.991395
282,nan,0.0,2,0,8.991395
283,nan,0.0,2,0,8.991395
284,nan,0.0,2,0,8.991395
285,nan,0.0,2,0,8.991395
286,nan,0.0,2,0,8.991395
287,nan,0.0,2,0,8.991395
288,nan,0.0,2,0,8.991395
289,nan,0.0,2,0,8.991395
290,nan,0.0,2,0,8.991395
291,nan,0.0,2,0,8.991395
292,nan,0.0,2,0,8.991395
293,nan,0.0,2,0,8.991395
294,nan,0.0,2,0,8.991395
295,nan,0.0,2,0,8.991395
296,nan,0.0,2,0,8.991395
297,nan,0.0,2,0,8.991395
298,nan,0.0,2,0,8.991395
299,nan,0.0,2,0,8.991395
