Metric,Value
Overall Accuracy,0.6606
""
Macro Averaged Metrics,
Precision (Macro),0.6625
Recall (Macro),0.5255
F1-Score (Macro),0.5284
""
Weighted Averaged Metrics,
Precision (Weighted),0.6886
Recall (Weighted),0.6606
F1-Score (Weighted),0.6130
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.9219,0.4184,0.5756,141
Enrolled,0.4333,0.1625,0.2364,80
Graduate,0.6322,0.9955,0.7733,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,59,16,66
Enrolled,5,13,62
Graduate,0,1,220
