Metric,Value
Overall Accuracy,0.5973
""
Macro Averaged Metrics,
Precision (Macro),0.6420
Recall (Macro),0.4539
F1-Score (Macro),0.4351
""
Weighted Averaged Metrics,
Precision (Weighted),0.6496
Recall (Weighted),0.5973
F1-Score (Weighted),0.5209
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8500,0.2411,0.3757,141
Enrolled,0.5000,0.1250,0.2000,80
Graduate,0.5759,0.9955,0.7297,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,34,9,98
Enrolled,6,10,64
Graduate,0,1,220
