Metric,Value
Overall Accuracy,0.5226
""
Macro Averaged Metrics,
Precision (Macro),0.4740
Recall (Macro),0.3568
F1-Score (Macro),0.2695
""
Weighted Averaged Metrics,
Precision (Weighted),0.5484
Recall (Weighted),0.5226
F1-Score (Weighted),0.3810
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.9091,0.0704,0.1307,142
Enrolled,0.0000,0.0000,0.0000,79
Graduate,0.5128,1.0000,0.6779,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,10,0,132
Enrolled,1,0,78
Graduate,0,0,221
