Metric,Value
Overall Accuracy,0.5837
""
Macro Averaged Metrics,
Precision (Macro),0.6658
Recall (Macro),0.4271
F1-Score (Macro),0.3909
""
Weighted Averaged Metrics,
Precision (Weighted),0.6679
Recall (Weighted),0.5837
F1-Score (Weighted),0.4929
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.9459,0.2482,0.3933,141
Enrolled,0.5000,0.0375,0.0698,80
Graduate,0.5514,0.9955,0.7097,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,35,3,103
Enrolled,1,3,76
Graduate,1,0,220
