Metric,Value
Overall Accuracy,0.6742
""
Macro Averaged Metrics,
Precision (Macro),0.6603
Recall (Macro),0.5415
F1-Score (Macro),0.5470
""
Weighted Averaged Metrics,
Precision (Weighted),0.6961
Recall (Weighted),0.6742
F1-Score (Weighted),0.6326
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.9412,0.4539,0.6124,141
Enrolled,0.3889,0.1750,0.2414,80
Graduate,0.6509,0.9955,0.7871,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,64,21,56
Enrolled,4,14,62
Graduate,0,1,220
