Metric,Value
Overall Accuracy,0.5950
""
Macro Averaged Metrics,
Precision (Macro),0.6455
Recall (Macro),0.4525
F1-Score (Macro),0.4322
""
Weighted Averaged Metrics,
Precision (Weighted),0.6530
Recall (Weighted),0.5950
F1-Score (Weighted),0.5161
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8611,0.2199,0.3503,141
Enrolled,0.5000,0.1375,0.2157,80
Graduate,0.5755,1.0000,0.7306,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,31,11,99
Enrolled,5,11,64
Graduate,0,0,221
