epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lam_g,max_u_g,h_u
0,0.002745,0.0,248,0,0.000615,6e-06,0.0
1,0.002724,0.00027,238,0,0.001218,1.7e-05,0.0
2,nan,0.000532,238,0,0.001822,3.2e-05,0.0
3,nan,0.00079,238,0,0.002425,5e-05,0.0
4,nan,0.001049,236,0,0.003027,7e-05,0.0
5,nan,0.001305,236,0,0.003626,9.2e-05,0.0
6,nan,0.001562,236,0,0.004224,0.000116,1e-06
7,nan,0.001805,236,0,0.004818,0.000141,1e-06
8,nan,0.002052,232,0,0.005408,0.000167,1e-06
9,nan,0.002274,232,0,0.005993,0.000193,2e-06
10,nan,0.002513,230,0,0.006571,0.00022,2e-06
11,nan,0.002728,230,0,0.007142,0.000248,3e-06
12,nan,0.002927,222,0,0.007704,0.000275,3e-06
13,nan,0.003117,216,0,0.008257,0.000303,4e-06
14,nan,0.003308,216,0,0.008799,0.00033,5e-06
15,nan,0.003472,210,0,0.009329,0.000357,6e-06
16,nan,0.003621,206,0,0.009847,0.000384,7e-06
17,nan,0.003763,200,0,0.010352,0.000411,8e-06
18,nan,0.003906,198,0,0.010844,0.000437,9e-06
19,nan,0.004012,196,0,0.01132,0.000463,1e-05
20,nan,0.004113,188,0,0.01178,0.000488,1.1e-05
21,nan,0.004204,186,0,0.012225,0.000513,1.2e-05
22,nan,0.004264,178,0,0.012654,0.000537,1.3e-05
23,nan,0.004338,168,0,0.013067,0.00056,1.4e-05
24,nan,0.004386,166,0,0.013463,0.000583,1.5e-05
25,nan,0.004432,158,0,0.013842,0.000605,1.6e-05
26,nan,0.004452,144,0,0.014204,0.000626,1.8e-05
27,nan,0.004469,136,0,0.014548,0.000646,1.9e-05
28,nan,0.004473,130,0,0.014876,0.000666,2e-05
29,nan,0.004492,126,0,0.015187,0.000684,2.1e-05
30,nan,0.004487,114,0,0.01548,0.000702,2.2e-05
31,nan,0.004452,106,0,0.015757,0.000719,2.3e-05
32,nan,0.004457,102,0,0.016016,0.000736,2.4e-05
33,nan,0.004422,96,0,0.016259,0.000751,2.5e-05
34,nan,0.00437,94,0,0.016486,0.000766,2.6e-05
35,nan,0.004344,88,0,0.016696,0.00078,2.7e-05
36,nan,0.004271,84,0,0.01689,0.000793,2.8e-05
37,nan,0.004209,76,0,0.017068,0.000805,2.9e-05
38,nan,0.004036,72,0,0.01723,0.000816,3e-05
39,nan,0.003953,58,0,0.017374,0.000827,3.1e-05
40,nan,0.003857,48,0,0.017502,0.000836,3.2e-05
41,nan,0.003774,42,0,0.017613,0.000845,3.2e-05
42,nan,0.003685,40,0,0.017708,0.000853,3.3e-05
43,nan,0.00361,38,0,0.017787,0.00086,3.4e-05
44,nan,0.003488,38,0,0.017852,0.000867,3.4e-05
45,nan,0.003396,28,0,0.017901,0.000873,3.5e-05
46,nan,0.003272,20,0,0.017935,0.000877,3.5e-05
47,nan,0.003189,8,0,0.017956,0.000881,3.5e-05
48,nan,0.003065,0,1,0.017962,0.000885,3.6e-05
49,nan,0.002956,0,1,0.017955,0.000887,3.6e-05
50,nan,0.002838,0,1,0.017935,0.000889,3.6e-05
51,nan,0.002748,0,1,0.017903,0.00089,3.6e-05
52,nan,0.002651,0,1,0.017859,0.000891,3.6e-05
