Metric,Value
Overall Accuracy,0.5136
""
Macro Averaged Metrics,
Precision (Macro),0.4606
Recall (Macro),0.3483
F1-Score (Macro),0.2550
""
Weighted Averaged Metrics,
Precision (Weighted),0.5346
Recall (Weighted),0.5136
F1-Score (Weighted),0.3659
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8750,0.0493,0.0933,142
Enrolled,0.0000,0.0000,0.0000,79
Graduate,0.5069,0.9955,0.6718,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,7,0,135
Enrolled,0,0,79
Graduate,1,0,220
