Metric,Value
Overall Accuracy,0.5679
""
Macro Averaged Metrics,
Precision (Macro),0.6152
Recall (Macro),0.4097
F1-Score (Macro),0.3647
""
Weighted Averaged Metrics,
Precision (Weighted),0.6461
Recall (Weighted),0.5679
F1-Score (Weighted),0.4676
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,1.0000,0.1915,0.3214,141
Enrolled,0.3000,0.0375,0.0667,80
Graduate,0.5457,1.0000,0.7061,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,27,7,107
Enrolled,0,3,77
Graduate,0,0,221
