Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Hard_Dropout,Soft_Dropout,Limit_Enrolled,Hard_Enrolled,Soft_Enrolled,Limit_Graduate,Hard_Graduate,Soft_Graduate
1,0.6929,0.883318,0.000000,0.118923,0.70,0.70,1,0,113,91,98.70,63,9,46.59,inf,342,296.71
3,0.7257,0.721439,0.000391,0.098920,0.70,0.70,1,1,113,99,98.92,63,13,59.40,inf,330,283.68
6,0.7315,0.753363,0.000000,0.045265,0.70,0.70,1,0,113,97,95.06,63,20,57.11,inf,325,289.83
9,0.7448,0.715253,0.027497,0.036731,0.70,0.70,0,0,113,119,113.69,63,20,55.38,inf,303,272.93
12,0.7426,0.740894,0.020413,0.049319,0.70,0.70,0,0,113,119,113.10,63,18,59.14,inf,305,269.76
15,0.7176,0.741421,0.000000,0.000000,0.70,0.70,1,1,113,94,88.66,63,10,41.80,inf,338,311.54
