Metric,Value
Overall Accuracy,0.5045
""
Macro Averaged Metrics,
Precision (Macro),0.5008
Recall (Macro),0.3418
F1-Score (Macro),0.2394
""
Weighted Averaged Metrics,
Precision (Weighted),0.4299
Recall (Weighted),0.5045
F1-Score (Weighted),0.3432
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.0000,0.0000,0.0000,142
Enrolled,1.0000,0.0253,0.0494,79
Graduate,0.5023,1.0000,0.6687,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,0,0,142
Enrolled,0,2,77
Graduate,0,0,221
