Metric,Value
Overall Accuracy,0.6176
""
Macro Averaged Metrics,
Precision (Macro),0.5967
Recall (Macro),0.4599
F1-Score (Macro),0.4322
""
Weighted Averaged Metrics,
Precision (Weighted),0.6413
Recall (Weighted),0.6176
F1-Score (Weighted),0.5400
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.9615,0.3546,0.5181,141
Enrolled,0.2500,0.0250,0.0455,80
Graduate,0.5785,1.0000,0.7330,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,50,6,85
Enrolled,2,2,76
Graduate,0,0,221
