epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lam_g,max_u_g,h_u
0,0.013257,0.0,256,0,0.000555,6e-06,0.0
1,0.005475,0.000113,220,0,0.001016,1.5e-05,0.0
2,nan,0.000207,220,0,0.001476,2.6e-05,0.0
3,nan,0.0003,222,0,0.001935,4e-05,0.0
4,nan,0.000392,222,0,0.002394,5.6e-05,0.0
5,nan,0.000488,222,0,0.002852,7.4e-05,0.0
6,nan,0.000579,222,0,0.003308,9.2e-05,0.0
7,nan,0.000673,220,0,0.003762,0.000111,0.0
8,nan,0.000764,220,0,0.004214,0.000131,1e-06
9,nan,0.000846,214,0,0.004664,0.000152,1e-06
10,nan,0.000933,214,0,0.005111,0.000172,1e-06
11,nan,0.001017,214,0,0.005554,0.000193,1e-06
12,nan,0.001105,210,0,0.005993,0.000215,1e-06
13,nan,0.001172,206,0,0.006428,0.000236,2e-06
14,nan,0.001248,204,0,0.006857,0.000257,2e-06
15,nan,0.001327,202,0,0.007281,0.000279,2e-06
16,nan,0.00139,200,0,0.007698,0.0003,3e-06
17,nan,0.00145,198,0,0.00811,0.000321,3e-06
18,nan,0.001516,194,0,0.008513,0.000342,4e-06
19,nan,0.001563,192,0,0.008909,0.000363,4e-06
20,nan,0.001608,190,0,0.009296,0.000383,4e-06
21,nan,0.001655,190,0,0.009674,0.000403,5e-06
22,nan,0.001696,182,0,0.010043,0.000423,5e-06
23,nan,0.00173,178,0,0.010402,0.000442,6e-06
24,nan,0.00176,166,0,0.010753,0.000461,6e-06
25,nan,0.001782,162,0,0.011093,0.00048,7e-06
26,nan,0.001794,150,0,0.011422,0.000498,7e-06
27,nan,0.001801,150,0,0.011742,0.000516,8e-06
28,nan,0.001823,144,0,0.01205,0.000533,9e-06
29,nan,0.001825,140,0,0.012348,0.00055,9e-06
30,nan,0.001825,134,0,0.012634,0.000566,1e-05
31,nan,0.001815,128,0,0.012909,0.000582,1e-05
32,nan,0.001833,120,0,0.013173,0.000598,1.1e-05
33,nan,0.001812,118,0,0.013426,0.000612,1.1e-05
34,nan,0.001804,114,0,0.013669,0.000627,1.2e-05
35,nan,0.001804,106,0,0.0139,0.00064,1.2e-05
36,nan,0.00179,88,0,0.014119,0.000653,1.3e-05
37,nan,0.001786,86,0,0.014328,0.000666,1.3e-05
38,nan,0.001771,80,0,0.014525,0.000678,1.4e-05
39,nan,0.00175,80,0,0.014713,0.00069,1.4e-05
40,nan,0.001719,74,0,0.01489,0.000701,1.5e-05
41,nan,0.001696,74,0,0.015057,0.000711,1.5e-05
42,nan,0.001669,70,0,0.015214,0.000721,1.6e-05
43,nan,0.001658,66,0,0.015361,0.00073,1.6e-05
44,nan,0.00161,62,0,0.015498,0.000739,1.6e-05
45,nan,0.001591,58,0,0.015627,0.000748,1.7e-05
46,nan,0.001562,56,0,0.015746,0.000756,1.7e-05
47,nan,0.001542,56,0,0.015857,0.000763,1.7e-05
48,nan,0.001516,50,0,0.015959,0.00077,1.8e-05
49,nan,0.001463,46,0,0.016052,0.000777,1.8e-05
50,nan,0.001454,42,0,0.016137,0.000783,1.8e-05
51,nan,0.001425,38,0,0.016215,0.000788,1.9e-05
52,nan,0.001392,38,0,0.016285,0.000793,1.9e-05
53,nan,0.001377,32,0,0.016349,0.000798,1.9e-05
54,nan,0.001347,28,0,0.016405,0.000803,1.9e-05
55,nan,0.001323,28,0,0.016454,0.000807,2e-05
56,nan,0.001309,20,0,0.016497,0.00081,2e-05
57,nan,0.001279,14,0,0.016534,0.000814,2e-05
58,nan,0.001247,6,0,0.016565,0.000817,2e-05
59,nan,0.001244,5,0,0.01659,0.000819,2e-05
60,nan,0.001206,5,0,0.01661,0.000821,2e-05
61,nan,0.001195,5,0,0.016624,0.000823,2e-05
62,nan,0.001173,3,0,0.016633,0.000825,2e-05
63,nan,0.001153,3,0,0.016637,0.000826,2.1e-05
64,nan,0.001138,1,0,0.016637,0.000827,2.1e-05
65,nan,0.001123,1,0,0.016631,0.000828,2.1e-05
66,nan,0.001099,1,0,0.016621,0.000829,2.1e-05
67,nan,0.00108,0,1,0.016607,0.000829,2.1e-05
68,nan,0.00106,0,1,0.016588,0.000829,2.1e-05
69,nan,0.001041,0,1,0.016566,0.000829,2.1e-05
70,nan,0.001036,0,1,0.01654,0.000829,2.1e-05
71,nan,0.001021,0,1,0.016511,0.000828,2.1e-05
