campaign,dataset,model,method,constraint_tag,seed,rep,cc_f1,f1_macro,acc,flips,sat,config_path
r2_seeds10,octmnist,MobileNetV3,fioretto_alm,L40_G40,5,,0.5,0.7412,0.766,,,results/track_b/r2_seeds10/lane_gpu0/MobileNetV3/octmnist/L40_G40/fioretto_alm/seed_5/config.json
r2_seeds10,octmnist,MobileNetV3,heuristic,L40_G40,9,,0.52,0.7541,0.776,,,results/track_b/r2_seeds10/lane_gpu0/MobileNetV3/octmnist/L40_G40/heuristic/seed_9/config.json
r2_seeds10,octmnist,MobileNetV3,heuristic,L40_G40,5,,0.5314,0.7409,0.761,,,results/track_b/r2_seeds10/lane_gpu0/MobileNetV3/octmnist/L40_G40/heuristic/seed_5/config.json
r2_seeds10,octmnist,ViTB16,hounie_rcl,L30_G30,9,,0.2847,0.6777,0.727,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L30_G30/hounie_rcl/seed_9/config.json
r2_seeds10,octmnist,ViTB16,hounie_rcl,L30_G30,5,,0.3484,0.7079,0.749,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L30_G30/hounie_rcl/seed_5/config.json
r2_seeds10,octmnist,ViTB16,tralo,L30_G30,9,,0.4037,0.7032,0.735,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L30_G30/tralo/seed_9/config.json
r2_seeds10,octmnist,ViTB16,tralo,L30_G30,5,,0.4198,0.713,0.743,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L30_G30/tralo/seed_5/config.json
r2_seeds10,octmnist,ViTB16,danits_lp,L30_G30,9,,0.4185,0.7047,0.735,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L30_G30/danits_lp/seed_9/config.json
r2_seeds10,octmnist,ViTB16,danits_lp,L30_G30,5,,0.4308,0.7333,0.765,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L30_G30/danits_lp/seed_5/config.json
r2_seeds10,octmnist,ViTB16,fioretto_ldf,L30_G30,9,,0.3377,0.6803,0.72,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L30_G30/fioretto_ldf/seed_9/config.json
r2_seeds10,octmnist,ViTB16,fioretto_ldf,L30_G30,5,,0.3718,0.7171,0.756,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L30_G30/fioretto_ldf/seed_5/config.json
r2_seeds10,octmnist,ViTB16,tralo_bounded,L30_G30,9,,0.3683,0.689,0.724,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L30_G30/tralo_bounded/seed_9/config.json
r2_seeds10,octmnist,ViTB16,tralo_bounded,L30_G30,5,,0.3399,0.7072,0.75,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L30_G30/tralo_bounded/seed_5/config.json
r2_seeds10,octmnist,ViTB16,fioretto_alm,L30_G30,9,,0.3377,0.6803,0.72,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L30_G30/fioretto_alm/seed_9/config.json
r2_seeds10,octmnist,ViTB16,fioretto_alm,L30_G30,5,,0.3718,0.7171,0.756,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L30_G30/fioretto_alm/seed_5/config.json
r2_seeds10,octmnist,ViTB16,heuristic,L30_G30,9,,0.4185,0.7047,0.735,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L30_G30/heuristic/seed_9/config.json
