camp,model,tag,arm,seed,sat_ep,stalled
review_controls2_2026-07,ViTB16,L30_G30,hounie_init,1,63.0,0
review_controls2_2026-07,ViTB16,L30_G30,hounie_init,2,68.0,0
review_controls2_2026-07,ViTB16,L40_G40,hounie_init,4,47.0,0
review_controls2_2026-07,ViTB16,L40_G40,hounie_init,3,36.0,0
review_controls2_2026-07,ViTB16,L40_G40,hounie_init,1,62.0,0
review_controls2_2026-07,ViTB16,L40_G40,hounie_init,2,61.0,0
review_controls2_2026-07,RegNetY400MF,L30_G30,hounie_init,4,17.0,0
review_controls2_2026-07,RegNetY400MF,L30_G30,hounie_init,3,33.0,0
review_controls2_2026-07,RegNetY400MF,L30_G30,hounie_init,1,35.0,0
review_controls2_2026-07,RegNetY400MF,L30_G30,hounie_init,2,28.0,0
review_controls2_2026-07,RegNetY400MF,L40_G40,hounie_init,4,11.0,0
review_controls2_2026-07,RegNetY400MF,L40_G40,hounie_init,3,25.0,0
review_controls2_2026-07,RegNetY400MF,L40_G40,hounie_init,1,29.0,0
review_controls2_2026-07,RegNetY400MF,L40_G40,hounie_init,2,24.0,0
review_controls2_2026-07,MobileNetV3,L30_G30,tralo,4,31.0,0
review_controls2_2026-07,MobileNetV3,L30_G30,tralo,3,31.0,0
review_controls2_2026-07,MobileNetV3,L30_G30,tralo,1,32.0,0
review_controls2_2026-07,MobileNetV3,L30_G30,tralo,2,30.0,0
review_controls2_2026-07,MobileNetV3,L30_G30,fioretto_init,4,36.0,0
review_controls2_2026-07,MobileNetV3,L30_G30,fioretto_init,3,34.0,0
review_controls2_2026-07,MobileNetV3,L30_G30,fioretto_init,1,36.0,0
review_controls2_2026-07,MobileNetV3,L30_G30,fioretto_init,2,33.0,0
review_controls2_2026-07,MobileNetV3,L40_G40,tralo,4,25.0,0
review_controls2_2026-07,MobileNetV3,L40_G40,tralo,3,25.0,0
review_controls2_2026-07,MobileNetV3,L40_G40,tralo,1,27.0,0
review_controls2_2026-07,MobileNetV3,L40_G40,tralo,2,27.0,0
review_controls2_2026-07,MobileNetV3,L40_G40,fioretto_init,4,29.0,0
review_controls2_2026-07,MobileNetV3,L40_G40,fioretto_init,3,27.0,0
review_controls2_2026-07,MobileNetV3,L40_G40,fioretto_init,1,32.0,0
review_controls2_2026-07,MobileNetV3,L40_G40,fioretto_init,2,27.0,0
review_controls2_2026-07,ViTB16,L30_G30,tralo,4,17.0,0
review_controls2_2026-07,ViTB16,L30_G30,tralo,3,15.0,0
review_controls2_2026-07,ViTB16,L30_G30,tralo,1,20.0,0
review_controls2_2026-07,ViTB16,L30_G30,tralo,2,20.0,0
review_controls2_2026-07,ViTB16,L30_G30,fioretto_init,4,24.0,0
review_controls2_2026-07,ViTB16,L30_G30,fioretto_init,3,999.0,1
review_controls2_2026-07,ViTB16,L30_G30,fioretto_init,1,27.0,0
review_controls2_2026-07,ViTB16,L30_G30,fioretto_init,2,26.0,0
review_controls2_2026-07,ViTB16,L40_G40,tralo,4,15.0,0
review_controls2_2026-07,ViTB16,L40_G40,tralo,3,13.0,0
review_controls2_2026-07,ViTB16,L40_G40,tralo,1,19.0,0
review_controls2_2026-07,ViTB16,L40_G40,tralo,2,19.0,0
review_controls2_2026-07,ViTB16,L40_G40,fioretto_init,4,19.0,0
review_controls2_2026-07,ViTB16,L40_G40,fioretto_init,3,999.0,1
review_controls2_2026-07,ViTB16,L40_G40,fioretto_init,1,24.0,0
review_controls2_2026-07,ViTB16,L40_G40,fioretto_init,2,999.0,1
review_controls2_2026-07,RegNetY400MF,L30_G30,tralo,4,17.0,0
review_controls2_2026-07,RegNetY400MF,L30_G30,tralo,3,30.0,0
review_controls2_2026-07,RegNetY400MF,L30_G30,tralo,1,31.0,0
review_controls2_2026-07,RegNetY400MF,L30_G30,tralo,2,28.0,0
review_controls2_2026-07,RegNetY400MF,L30_G30,fioretto_init,4,999.0,1
review_controls2_2026-07,RegNetY400MF,L30_G30,fioretto_init,3,999.0,1
review_controls2_2026-07,RegNetY400MF,L30_G30,fioretto_init,1,34.0,0
review_controls2_2026-07,RegNetY400MF,L30_G30,fioretto_init,2,999.0,1
review_controls2_2026-07,RegNetY400MF,L40_G40,tralo,4,11.0,0
review_controls2_2026-07,RegNetY400MF,L40_G40,tralo,3,25.0,0
review_controls2_2026-07,RegNetY400MF,L40_G40,tralo,1,27.0,0
review_controls2_2026-07,RegNetY400MF,L40_G40,tralo,2,23.0,0
review_controls2_2026-07,RegNetY400MF,L40_G40,fioretto_init,4,18.0,0
review_controls2_2026-07,RegNetY400MF,L40_G40,fioretto_init,3,28.0,0
review_controls2_2026-07,RegNetY400MF,L40_G40,fioretto_init,1,30.0,0
review_controls2_2026-07,RegNetY400MF,L40_G40,fioretto_init,2,27.0,0
