campaign,arm,dataset,model,method,cap,seed,warmup,cc_f1,cc_prec,cc_rec,f1_macro,acc,ece,sat,flips,constrained_class,group_column,config_path
b2_derm,fioretto_ldf,dermmnist,MobileNetV3,fioretto_ldf,L40_G40,1,50,0.5064,0.8876,0.3543,0.739,0.8517,0.1194,,9.0,4,loc_group,results/track_b/b2_derm/derm/MobileNetV3/warmup50/L40_G40/fioretto_ldf/seed_1/config.json
b2_derm,fioretto_ldf,dermmnist,MobileNetV3,fioretto_ldf,L40_G40,2,50,0.4936,0.8652,0.3453,0.7093,0.8452,0.1312,,6.0,4,loc_group,results/track_b/b2_derm/derm/MobileNetV3/warmup50/L40_G40/fioretto_ldf/seed_2/config.json
b2_derm,fioretto_ldf,dermmnist,MobileNetV3,fioretto_ldf,L40_G40,3,50,0.5064,0.8876,0.3543,0.7425,0.8577,0.1207,,4.0,4,loc_group,results/track_b/b2_derm/derm/MobileNetV3/warmup50/L40_G40/fioretto_ldf/seed_3/config.json
b2_derm,fioretto_ldf,dermmnist,MobileNetV3,fioretto_ldf,L40_G40,4,50,0.4872,0.8539,0.3408,0.7383,0.8492,0.1283,,14.0,4,loc_group,results/track_b/b2_derm/derm/MobileNetV3/warmup50/L40_G40/fioretto_ldf/seed_4/config.json
b2_derm,hounie_rcl,dermmnist,MobileNetV3,hounie_rcl,L40_G40,1,50,0.5064,0.8876,0.3543,0.7311,0.8497,0.1286,,29.0,4,loc_group,results/track_b/b2_derm/derm/MobileNetV3/warmup50/L40_G40/hounie_rcl/seed_1/config.json
b2_derm,hounie_rcl,dermmnist,MobileNetV3,hounie_rcl,L40_G40,2,50,0.4872,0.8539,0.3408,0.7141,0.8437,0.1372,,18.0,4,loc_group,results/track_b/b2_derm/derm/MobileNetV3/warmup50/L40_G40/hounie_rcl/seed_2/config.json
b2_derm,hounie_rcl,dermmnist,MobileNetV3,hounie_rcl,L40_G40,3,50,0.5,0.8764,0.3498,0.7194,0.8532,0.1313,,19.0,4,loc_group,results/track_b/b2_derm/derm/MobileNetV3/warmup50/L40_G40/hounie_rcl/seed_3/config.json
b2_derm,hounie_rcl,dermmnist,MobileNetV3,hounie_rcl,L40_G40,4,50,0.4936,0.8652,0.3453,0.7429,0.8522,0.1298,,24.0,4,loc_group,results/track_b/b2_derm/derm/MobileNetV3/warmup50/L40_G40/hounie_rcl/seed_4/config.json
b2_derm,tralo,dermmnist,MobileNetV3,tralo,L40_G40,1,50,0.5,0.8764,0.3498,0.7455,0.8542,0.1199,,0.0,4,loc_group,results/track_b/b2_derm/derm/MobileNetV3/warmup50/L40_G40/tralo/seed_1/config.json
b2_derm,tralo,dermmnist,MobileNetV3,tralo,L40_G40,2,50,0.4936,0.8652,0.3453,0.7161,0.8447,0.1336,,3.0,4,loc_group,results/track_b/b2_derm/derm/MobileNetV3/warmup50/L40_G40/tralo/seed_2/config.json
b2_derm,tralo,dermmnist,MobileNetV3,tralo,L40_G40,3,50,0.5,0.8764,0.3498,0.7388,0.8572,0.121,,1.0,4,loc_group,results/track_b/b2_derm/derm/MobileNetV3/warmup50/L40_G40/tralo/seed_3/config.json
