campaign,arm,dataset,model,method,cap,seed,warmup,cc_f1,cc_prec,cc_rec,f1_macro,acc,ece,sat,flips,constrained_class,group_column,config_path
b1,focal,dermmnist,MobileNetV3,focal,L30_G30,2,1,0.3448,0.7463,0.2242,0.4236,0.7713,0.1338,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup1/L30_G30/focal/seed_2/config.json
b1,focal,dermmnist,MobileNetV3,focal,L30_G30,2,5,0.4138,0.8955,0.2691,0.7221,0.8437,0.017,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup5/L30_G30/focal/seed_2/config.json
b1,focal,dermmnist,MobileNetV3,focal,L30_G30,2,50,0.4345,0.9403,0.2825,0.7264,0.8492,0.0562,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup50/L30_G30/focal/seed_2/config.json
b1,focal,dermmnist,MobileNetV3,focal,L30_G30,3,5,0.4069,0.8806,0.2646,0.7119,0.8377,0.0236,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup5/L30_G30/focal/seed_3/config.json
b1,focal,dermmnist,MobileNetV3,focal,L30_G30,3,50,0.4069,0.8806,0.2646,0.7249,0.8437,0.0589,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup50/L30_G30/focal/seed_3/config.json
b1,focal,dermmnist,MobileNetV3,focal,L30_G30,4,5,0.4,0.8657,0.2601,0.6994,0.8402,0.0294,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup5/L30_G30/focal/seed_4/config.json
b1,focal,dermmnist,MobileNetV3,focal,L30_G30,4,50,0.4345,0.9403,0.2825,0.7365,0.8502,0.0546,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup50/L30_G30/focal/seed_4/config.json
b1,logit_adjust,dermmnist,MobileNetV3,logit_adjust,L30_G30,1,5,0.4414,0.9552,0.287,0.6835,0.8328,0.0668,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup5/L30_G30/logit_adjust/seed_1/config.json
b1,logit_adjust,dermmnist,MobileNetV3,logit_adjust,L30_G30,1,50,0.4345,0.9403,0.2825,0.7054,0.8457,0.0994,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup50/L30_G30/logit_adjust/seed_1/config.json
b1,logit_adjust,dermmnist,MobileNetV3,logit_adjust,L30_G30,2,5,0.3931,0.8507,0.2556,0.6666,0.8308,0.0699,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup5/L30_G30/logit_adjust/seed_2/config.json
b1,logit_adjust,dermmnist,MobileNetV3,logit_adjust,L30_G30,2,50,0.4138,0.8955,0.2691,0.6958,0.8402,0.1081,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup50/L30_G30/logit_adjust/seed_2/config.json
b1,logit_adjust,dermmnist,MobileNetV3,logit_adjust,L30_G30,3,5,0.4069,0.8806,0.2646,0.6769,0.8253,0.0725,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup5/L30_G30/logit_adjust/seed_3/config.json
b1,logit_adjust,dermmnist,MobileNetV3,logit_adjust,L30_G30,3,50,0.4207,0.9104,0.2735,0.7031,0.8447,0.0994,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup50/L30_G30/logit_adjust/seed_3/config.json
b1,logit_adjust,dermmnist,MobileNetV3,logit_adjust,L30_G30,4,5,0.3931,0.8507,0.2556,0.7048,0.8392,0.0731,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup5/L30_G30/logit_adjust/seed_4/config.json
b1,logit_adjust,dermmnist,MobileNetV3,logit_adjust,L30_G30,4,50,0.3931,0.8507,0.2556,0.658,0.8258,0.1134,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup50/L30_G30/logit_adjust/seed_4/config.json
b1,tralo,dermmnist,MobileNetV3,tralo,L30_G30,1,1,0.3724,0.806,0.2422,0.6858,0.8253,0.1373,,3.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup1/L30_G30/tralo/seed_1/config.json
b1,tralo,dermmnist,MobileNetV3,tralo,L30_G30,1,5,0.4069,0.8806,0.2646,0.7289,0.8452,0.1182,,5.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup5/L30_G30/tralo/seed_1/config.json
b1,tralo,dermmnist,MobileNetV3,tralo,L30_G30,1,50,0.4207,0.9104,0.2735,0.7236,0.8447,0.1274,,2.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup50/L30_G30/tralo/seed_1/config.json
b1,tralo,dermmnist,MobileNetV3,tralo,L30_G30,2,1,0.3517,0.7612,0.2287,0.6881,0.8273,0.1352,,6.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup1/L30_G30/tralo/seed_2/config.json
b1,tralo,dermmnist,MobileNetV3,tralo,L30_G30,2,5,0.4138,0.8955,0.2691,0.7111,0.8422,0.1214,,5.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup5/L30_G30/tralo/seed_2/config.json
b1,tralo,dermmnist,MobileNetV3,tralo,L30_G30,2,50,0.4,0.8657,0.2601,0.6895,0.8337,0.1425,,1.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup50/L30_G30/tralo/seed_2/config.json
b1,tralo,dermmnist,MobileNetV3,tralo,L30_G30,3,5,0.4138,0.8955,0.2691,0.6965,0.8377,0.1227,,4.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup5/L30_G30/tralo/seed_3/config.json
b1,tralo,dermmnist,MobileNetV3,tralo,L30_G30,3,50,0.4069,0.8806,0.2646,0.7211,0.8457,0.1337,,10.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup50/L30_G30/tralo/seed_3/config.json
b1,tralo,dermmnist,MobileNetV3,tralo,L30_G30,4,5,0.4138,0.8955,0.2691,0.707,0.8422,0.1155,,3.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup5/L30_G30/tralo/seed_4/config.json
b1,tralo,dermmnist,MobileNetV3,tralo,L30_G30,4,50,0.4276,0.9254,0.278,0.7128,0.8387,0.1393,,1.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup50/L30_G30/tralo/seed_4/config.json
b1,class_balanced,dermmnist,RegNetY400MF,class_balanced,L30_G30,1,5,0.3655,0.791,0.2377,0.6624,0.8108,0.045,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup5/L30_G30/class_balanced/seed_1/config.json
b1,class_balanced,dermmnist,RegNetY400MF,class_balanced,L30_G30,1,50,0.4207,0.9104,0.2735,0.7083,0.8412,0.1047,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup50/L30_G30/class_balanced/seed_1/config.json
