campaign,dataset,cap,model,seed,method,N,K,frac_shift,mu_c,mu_top1,top1_share,top1_class,n_infl_classes,dL2,cnt_before,cnt_after,cnt_shift_only,AP_before,AP_after,AP_shift_only
results/pending_runs/aider_asym,aider,L20_G80,MobileNetV3,1,tralo,1190,82,0.3169912655694418,-2.3183176420820915,3.289107254684924,1.0,3,1,7.264344180203712,111,14,98,0.9917600917072933,0.7886011585764219,0.9895889246621784
results/pending_runs/aider_asym,aider,L20_G80,MobileNetV3,1,tralo_bounded,1190,82,0.31704829888204766,-2.3485841863094095,3.3646179257159514,1.0,3,1,7.410706220018899,111,11,97,0.9917600917072933,0.7611534770265459,0.9895692589787959
results/pending_runs/aider_asym,aider,L20_G80,MobileNetV3,1,fioretto_ldf,1190,82,0.3163935308294735,-2.3415535952967086,3.302259890098053,1.0,3,1,7.30823817347587,111,13,98,0.9917600917072933,0.783144190961646,0.9895692589787959
results/pending_runs/aider_asym,aider,L20_G80,MobileNetV3,1,hounie_rcl,1190,82,0.30656443356354957,-2.4930394629267276,3.5956258067373987,1.0,3,1,8.042289978065961,111,5,95,0.9917600917072933,0.5809906197415301,0.9895497665613463
results/pending_runs/aider_asym,aider,L20_G80,MobileNetV3,2,tralo,1190,82,0.234184315523707,-2.0680567820395375,2.5892174191462036,0.9372949968707205,3,1,7.005500637928159,103,18,97,0.9952585860619059,0.8105847222202179,0.9950640789495704
results/pending_runs/aider_asym,aider,L20_G80,MobileNetV3,2,tralo_bounded,1190,82,0.23683361908209286,-2.073520854535433,2.661580825888169,0.9504201990828162,3,1,7.0977357478501375,103,16,97,0.9952585860619059,0.7991013982064187,0.9950640789495704
results/pending_runs/aider_asym,aider,L20_G80,MobileNetV3,2,fioretto_ldf,1190,82,0.23795619043609467,-2.1155829023451895,2.6976796267510808,0.9419831305478334,3,1,7.201458246998241,103,12,97,0.9952585860619059,0.7869751991750713,0.9950640789495703
results/pending_runs/aider_asym,aider,L20_G80,MobileNetV3,2,hounie_rcl,1190,82,0.22710145455963335,-2.3459301720911148,3.288669371095388,1.0,3,1,8.700699298410147,103,3,97,0.9952585860619059,0.4327228501694098,0.994717994803494
results/pending_runs/aider_asym,aider,L20_G80,MobileNetV3,3,tralo,1190,82,0.3082609726147584,-2.303907391135244,2.412638652201787,1.0,3,1,6.0105548892686045,103,19,99,0.995734272439451,0.9034672229623351,0.994988096440347
results/pending_runs/aider_asym,aider,L20_G80,MobileNetV3,3,tralo_bounded,1190,82,0.3062774046932945,-2.4214778378451025,2.525099336780689,1.0,3,1,6.323097238356914,103,13,98,0.995734272439451,0.8831611283746411,0.994988096440347
results/pending_runs/aider_asym,aider,L20_G80,MobileNetV3,3,fioretto_ldf,1190,82,0.3259655319302651,-2.4121697314014545,2.7022068457135955,1.0,3,1,6.354567264672069,103,16,98,0.995734272439451,0.8933831899343487,0.9948520420185782
results/pending_runs/aider_asym,aider,L20_G80,MobileNetV3,3,hounie_rcl,1190,82,0.24752993951608065,-2.5895065075691788,2.4316757364902832,0.9390498650543827,3,1,7.144687223907393,103,2,98,0.995734272439451,0.719677440955518,0.9950346904204048
results/pending_runs/aider_asym,aider,L20_G80,MobileNetV3,4,tralo,1190,82,0.226462928692401,-2.3428710228702445,2.3889445884170506,0.9040791210849415,3,1,7.079467978274213,101,20,95,0.9808180499733947,0.7470711318372754,0.9778453647944758
results/pending_runs/aider_asym,aider,L20_G80,MobileNetV3,4,tralo_bounded,1190,82,0.23822925691726998,-2.350354892503729,2.8242920778376064,1.0,3,1,7.572584786161046,101,12,95,0.9808180499733947,0.6957398393352929,0.9771122338100285
results/pending_runs/aider_asym,aider,L20_G80,MobileNetV3,4,fioretto_ldf,1190,82,0.23783426155471882,-2.3392396629757486,2.7940513104608766,1.0,3,1,7.508916292185257,101,13,95,0.9808180499733947,0.7199065867810568,0.9771802021738447
results/pending_runs/aider_asym,aider,L20_G80,MobileNetV3,4,hounie_rcl,1190,82,0.22815709300000303,-2.664075705625343,3.163135584576616,1.0,3,1,8.701551947711792,101,4,95,0.9808180499733947,0.4088978708680936,0.976733843331667
results/pending_runs/aider_asym,aider,L30_G70,MobileNetV3,1,tralo,1190,71,0.3162174633558824,-2.205662531553787,3.002910836994867,1.0,3,1,6.718448607803626,111,25,99,0.9917600917072933,0.8529433904226571,0.9899656343948766
results/pending_runs/aider_asym,aider,L30_G70,MobileNetV3,1,tralo_bounded,1190,71,0.3178040913987525,-2.242740395745191,3.13496796776741,1.0,3,1,6.9435753498986275,111,21,98,0.9917600917072933,0.8370504152016663,0.9898469135336074
results/pending_runs/aider_asym,aider,L30_G70,MobileNetV3,1,fioretto_ldf,1190,71,0.3166332032256617,-2.282760113264817,3.183491753776467,1.0,3,1,7.064435010768852,111,17,98,0.9917600917072933,0.822347157452253,0.9898469135336077
results/pending_runs/aider_asym,aider,L30_G70,MobileNetV3,1,hounie_rcl,1190,71,0.3099882077165438,-2.3874086809812813,3.3788848730724004,1.0,3,1,7.553160643050066,111,8,97,0.9917600917072933,0.7014601615740965,0.9895692589787957
results/pending_runs/aider_asym,aider,L30_G70,MobileNetV3,2,tralo,1190,71,0.23287416492383772,-1.9320430755641682,2.272612433904244,0.8887136566821655,3,1,6.342992899323228,103,29,97,0.9952585860619059,0.8914134403304358,0.9950640789495704
results/pending_runs/aider_asym,aider,L30_G70,MobileNetV3,2,tralo_bounded,1190,71,0.23959088296511863,-1.9348378915859403,2.4361614280488286,0.9402166750990532,3,1,6.5033357987291485,103,29,98,0.9952585860619059,0.8811117761398304,0.9950640789495705
results/pending_runs/aider_asym,aider,L30_G70,MobileNetV3,2,fioretto_ldf,1190,71,0.23932644991368265,-2.002177459479779,2.5132552689328875,0.9316717076947818,3,1,6.730909804472554,103,24,97,0.9952585860619059,0.8559088843561536,0.9950640789495704
results/pending_runs/aider_asym,aider,L30_G70,MobileNetV3,2,hounie_rcl,1190,71,0.22735625041236585,-2.2769083973225133,3.1465598780819843,0.9924378795794445,3,1,8.358542090824344,103,3,97,0.9952585860619059,0.5122347318133204,0.9947997622894709
results/pending_runs/aider_asym,aider,L30_G70,MobileNetV3,3,tralo,1190,71,0.3173898955743698,-2.2344535248798696,2.303536383254851,0.9947721122142417,3,1,5.698287002575094,103,31,99,0.995734272439451,0.9290737575420804,0.9950346904204048
results/pending_runs/aider_asym,aider,L30_G70,MobileNetV3,3,tralo_bounded,1190,71,0.32558787556756846,-2.250032833381903,2.4000091200020344,1.0,3,1,5.768456825226553,103,31,99,0.995734272439451,0.9298964266384802,0.994988096440347
results/pending_runs/aider_asym,aider,L30_G70,MobileNetV3,3,fioretto_ldf,1190,71,0.33268262583218144,-2.312030020133816,2.5404377244981204,1.0,3,1,5.962033002909137,103,28,98,0.995734272439451,0.9238518673811794,0.9949421321086684
results/pending_runs/aider_asym,aider,L30_G70,MobileNetV3,3,hounie_rcl,1190,71,0.25179729971453657,-2.5375804450690804,2.3774212554051877,0.936885078865142,3,1,6.93505916935272,103,3,98,0.995734272439451,0.7678138831213852,0.9950346904204048
results/pending_runs/aider_asym,aider,L30_G70,MobileNetV3,4,tralo,1190,71,0.24609563633627587,-2.127457171691244,2.5516629560273985,1.0,3,1,6.730198842727133,101,31,95,0.9808180499733947,0.8209552058759771,0.9775934588875304
