dataset,model,seed,warmup,sweep,N,K,base,sinkerr_eps1.0,sinkmass_eps1.0,sinkdiscord_eps1.0,sinkerr_eps0.5,sinkmass_eps0.5,sinkdiscord_eps0.5,sinkerr_eps0.1,sinkmass_eps0.1,sinkdiscord_eps0.1,inc_up,inc_dnTPin,inc_dnTPout,inc_upTPin,inc_dnFPin,inc_align,inc_neff,ot_up,ot_dnTPin,ot_dnTPout,ot_upTPin,ot_dnFPin,ot_align,ot_neff,sig1.00_up,sig1.00_dnTPin,sig1.00_dnTPout,sig1.00_upTPin,sig1.00_dnFPin,sig1.00_align,sig1.00_neff,sig0.25_up,sig0.25_dnTPin,sig0.25_dnTPout,sig0.25_upTPin,sig0.25_dnFPin,sig0.25_align,sig0.25_neff,cut0.5_up,cut0.5_dnTPin,cut0.5_dnTPout,cut0.5_upTPin,cut0.5_dnFPin,cut0.5_align,cut0.5_neff,cut1.0_up,cut1.0_dnTPin,cut1.0_dnTPout,cut1.0_upTPin,cut1.0_dnFPin,cut1.0_align,cut1.0_neff
dermmnist,MobileNetV3,4,30,headroom_b30,2003,112,0.11133300049925113,7.730933160265698e-14,112.00000000086122,0.16733266733266733,0.3093641248859281,112.00000000097772,0.2962037962037962,0.5441223036595442,112.36013778213822,0.2882117882117882,0.0,0.031162201885446387,0.44733410982409116,0.0,0.03056018923050733,-0.4784963117095375,0.06983586520849497,0.02747668295221489,0.0,0.525569271102152,0.013643526499915778,0.0,-0.5119257446022362,0.047031636384994274,0.0,0.026750783088458144,0.4429970308895367,0.0,0.0262154031726948,-0.46974781397799487,0.07036315231709438,0.0,1.1983523816419067e-05,0.46784578928178927,0.0,3.908862601095368e-05,-0.4678577728056057,0.016330760059356422,0.39622641509433965,0.0,0.31446540880503143,0.27672955974842767,0.0,-0.03773584905660377,0.07938092860708937,0.29253731343283584,0.0,0.23283582089552238,0.2298507462686567,0.0,-0.0029850746268656717,0.1672491263105342
dermmnist,MobileNetV3,3,30,headroom_b30,2003,112,0.11133300049925113,2.4657367537431017e-14,112.0000000009095,0.16333666333666333,0.20959062543723928,112.00000058056702,0.2662337662337662,0.5483796351947432,112.71707670089162,0.26223776223776224,0.0,0.014508128167670248,0.4204843863118492,0.0,0.004173343317696411,-0.4349925144795195,0.05438331798252099,0.005876831414782098,0.0,0.5570135200408622,0.004557607697496066,0.0,-0.5524559123433662,0.04041524953642626,0.0,0.013311746682563425,0.4024694631701387,0.0,0.0038204016915139704,-0.4157812098527021,0.0548446523837437,0.0,4.166731826962192e-07,0.4823873769000627,0.0,2.0765084932905715e-07,-0.4823877935732455,0.011852569425118859,0.4787234042553192,0.0,0.3404255319148936,0.40425531914893614,0.0,0.06382978723404255,0.046929605591612585,0.3915343915343915,0.0,0.26455026455026454,0.3333333333333333,0.0,0.06878306878306878,0.09435846230654019
dermmnist,MobileNetV3,1,30,headroom_b30,2003,112,0.11133300049925113,4.1300296516055823e-14,112.0000000009199,0.1798201798201798,0.25548467543372355,112.00000027901608,0.27672327672327673,0.42180244699905045,112.97149029551883,0.26873126873126874,0.0,0.004535481042208406,0.37249600356240203,0.0,0.002181825036317776,-0.37703148460461045,0.0516198228740676,0.0015920895318402713,0.0,0.5090583052526219,0.0010747807263827866,0.0,-0.5079835245262392,0.045602017372116166,0.0,0.0036279907089093342,0.3735018870128704,0.0,0.0019235530773016242,-0.3771298777217797,0.05276615980062916,0.0,2.1705411702257246e-09,0.32262374341042693,0.0,1.837169887131969e-09,-0.3226237455809681,0.011402124287151812,0.4794520547945205,0.0,0.3424657534246575,0.3424657534246575,0.0,0.0,0.036445332001997004,0.3972602739726027,0.0,0.2945205479452055,0.3219178082191781,0.0,0.0273972602739726,0.07289066400399401
dermmnist,MobileNetV3,2,30,headroom_b30,2003,112,0.11133300049925113,1.946300324671543e-14,112.00000000094249,0.12537462537462538,0.29367730590474495,112.0000000009241,0.26023976023976025,0.5787609418617536,112.36149806417967,0.24975024975024976,0.0,0.010094296362995856,0.40776254756975133,0.0,0.00409347462246743,-0.41785684393274725,0.08723647553113906,0.004481077014524505,0.0,0.47152439710624444,0.0031927474555224333,0.0,-0.4683316496507221,0.06705027276132418,0.0,0.008559877001757248,0.4035520354045133,0.0,0.0030885654615239264,-0.41211191240627054,0.08746345625035307,0.0,1.7601163642362638e-07,0.4850875646112581,0.0,1.1066325689352489e-08,-0.4850877406228945,0.01979880174756018,0.36548223350253806,0.0,0.29949238578680204,0.25380710659898476,0.0,-0.04568527918781726,0.0983524712930604,0.2541176470588235,0.0,0.2376470588235294,0.1976470588235294,0.0,-0.04,0.21218172740888666
dermmnist,MobileNetV3,4,30,headroom_b30,2003,112,0.11133300049925113,7.730933160265698e-14,112.00000000086122,0.16733266733266733,0.3093641248859281,112.00000000097772,0.2962037962037962,0.5441223036595442,112.36013778213822,0.2882117882117882,0.0,0.031162201885446387,0.44733410982409116,0.0,0.03056018923050733,-0.4784963117095375,0.06983586520849497,0.02747668295221489,0.0,0.525569271102152,0.013643526499915778,0.0,-0.5119257446022362,0.047031636384994274,0.0,0.026750783088458144,0.4429970308895367,0.0,0.0262154031726948,-0.46974781397799487,0.07036315231709438,0.0,1.1983523816419067e-05,0.46784578928178927,0.0,3.908862601095368e-05,-0.4678577728056057,0.016330760059356422,0.39622641509433965,0.0,0.31446540880503143,0.27672955974842767,0.0,-0.03773584905660377,0.07938092860708937,0.29253731343283584,0.0,0.23283582089552238,0.2298507462686567,0.0,-0.0029850746268656717,0.1672491263105342
dermmnist,MobileNetV3,3,30,headroom_b30,2003,112,0.11133300049925113,2.4657367537431017e-14,112.0000000009095,0.16333666333666333,0.20959062543723928,112.00000058056702,0.2662337662337662,0.5483796351947432,112.71707670089162,0.26223776223776224,0.0,0.014508128167670248,0.4204843863118492,0.0,0.004173343317696411,-0.4349925144795195,0.05438331798252099,0.005876831414782098,0.0,0.5570135200408622,0.004557607697496066,0.0,-0.5524559123433662,0.04041524953642626,0.0,0.013311746682563425,0.4024694631701387,0.0,0.0038204016915139704,-0.4157812098527021,0.0548446523837437,0.0,4.166731826962192e-07,0.4823873769000627,0.0,2.0765084932905715e-07,-0.4823877935732455,0.011852569425118859,0.4787234042553192,0.0,0.3404255319148936,0.40425531914893614,0.0,0.06382978723404255,0.046929605591612585,0.3915343915343915,0.0,0.26455026455026454,0.3333333333333333,0.0,0.06878306878306878,0.09435846230654019
dermmnist,MobileNetV3,1,30,headroom_b30,2003,112,0.11133300049925113,4.1300296516055823e-14,112.0000000009199,0.1798201798201798,0.25548467543372355,112.00000027901608,0.27672327672327673,0.42180244699905045,112.97149029551883,0.26873126873126874,0.0,0.004535481042208406,0.37249600356240203,0.0,0.002181825036317776,-0.37703148460461045,0.0516198228740676,0.0015920895318402713,0.0,0.5090583052526219,0.0010747807263827866,0.0,-0.5079835245262392,0.045602017372116166,0.0,0.0036279907089093342,0.3735018870128704,0.0,0.0019235530773016242,-0.3771298777217797,0.05276615980062916,0.0,2.1705411702257246e-09,0.32262374341042693,0.0,1.837169887131969e-09,-0.3226237455809681,0.011402124287151812,0.4794520547945205,0.0,0.3424657534246575,0.3424657534246575,0.0,0.0,0.036445332001997004,0.3972602739726027,0.0,0.2945205479452055,0.3219178082191781,0.0,0.0273972602739726,0.07289066400399401
dermmnist,MobileNetV3,2,30,headroom_b30,2003,112,0.11133300049925113,1.946300324671543e-14,112.00000000094249,0.12537462537462538,0.29367730590474495,112.0000000009241,0.26023976023976025,0.5787609418617536,112.36149806417967,0.24975024975024976,0.0,0.010094296362995856,0.40776254756975133,0.0,0.00409347462246743,-0.41785684393274725,0.08723647553113906,0.004481077014524505,0.0,0.47152439710624444,0.0031927474555224333,0.0,-0.4683316496507221,0.06705027276132418,0.0,0.008559877001757248,0.4035520354045133,0.0,0.0030885654615239264,-0.41211191240627054,0.08746345625035307,0.0,1.7601163642362638e-07,0.4850875646112581,0.0,1.1066325689352489e-08,-0.4850877406228945,0.01979880174756018,0.36548223350253806,0.0,0.29949238578680204,0.25380710659898476,0.0,-0.04568527918781726,0.0983524712930604,0.2541176470588235,0.0,0.2376470588235294,0.1976470588235294,0.0,-0.04,0.21218172740888666
tissuemnist,MobileNetV3,4,30,headroom_b30,2400,86,0.07125,2.160008249949268e-14,86.00000000083142,0.07253022092538558,0.2462999392531232,86.00000000096986,0.3343059608170071,0.5593500456764311,86.1708844783995,0.3359733222175907,0.0,0.007729597899252342,0.2914691863720452,0.0,0.009745853630655476,-0.29919878427129754,0.06221481075582852,0.005566019368772843,0.0,0.3301028980702396,0.0024633927399088412,0.0,-0.3276395053303308,0.0464285920409074,0.0,0.006416368397789002,0.28664782374915443,0.0,0.008037190141291246,-0.2930641921469435,0.06407300568570484,0.0,1.5266072269357606e-07,0.27729257330824175,0.0,1.8275274285297333e-07,-0.2772927259689644,0.014977266128416872,0.3925233644859813,0.0,0.205607476635514,0.17757009345794392,0.0,-0.028037383177570093,0.044583333333333336,0.27391304347826084,0.0,0.22608695652173913,0.10434782608695652,0.0,-0.12173913043478261,0.09583333333333334
tissuemnist,MobileNetV3,3,30,headroom_b30,2400,86,0.07125,4.141131881851834e-14,86.00000000098669,0.04126719466444352,0.23509468692630908,86.00000000093497,0.3213839099624844,0.5571521783995468,86.4930392639385,0.32096706961233845,0.0,0.002292811363850406,0.24468223390833907,0.0,0.0015511514967340705,-0.24697504527218947,0.09294181442260015,0.0011005760157479984,0.0,0.2882283166175621,0.0006566115868821638,0.0,-0.28757170503068,0.07593538932056981,0.0,0.0017648817786700857,0.23161741180493256,0.0,0.0011887134779112534,-0.23338229358360266,0.09474304022974979,0.0,1.1092922532395746e-09,0.28574262127370725,0.0,4.5962448791450713e-10,-0.2857426223829995,0.024428020962121506,0.36752136752136755,0.0,0.20512820512820512,0.21367521367521367,0.0,0.008547008547008548,0.04875,0.24302788844621515,0.0,0.2151394422310757,0.1394422310756972,0.0,-0.07569721115537849,0.10458333333333333
