model_name,base_model_id,constraint_global,constraint_local,learning_rate,lambda_strategy,lambda_global,lambda_local,lambda_step,warmup_epochs,batch_size,dropout,variation_name,optimized_acc,heuristic_acc,saturated_acc,optimized_status,heuristic_status,saturated_status
BasicNN,BasicNN_6007870002bf,0.8,0.9,5e-05,linear,0.1,0.1,0.005,50,64,0.3,lr_5e-05_lambda_linear,0.7330316742081447,0.5,,completed,completed,
BasicNN,BasicNN_6007870002bf,0.8,0.9,5e-05,transfer,0.1,0.1,0.005,50,64,0.3,lr_5e-05_lambda_transfer,0.7058823529411765,,,completed,pending,
BasicNN,BasicNN_46bee3eea59d,0.8,0.9,0.0001,balanced,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_balanced,0.7194570135746606,,,completed,pending,
BasicNN,BasicNN_46bee3eea59d,0.8,0.9,0.0001,combined,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_combined,0.7262443438914027,,,completed,pending,
BasicNN,BasicNN_46bee3eea59d,0.8,0.9,0.0001,linear,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_linear,0.7217194570135747,,,completed,pending,
BasicNN,BasicNN_46bee3eea59d,0.8,0.9,0.0001,transfer,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_transfer,0.7285067873303167,,,completed,pending,
BasicNN,BasicNN_f63ae9417829,0.8,0.9,0.0005,balanced,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_balanced,0.7013574660633484,,,completed,pending,
BasicNN,BasicNN_f63ae9417829,0.8,0.9,0.0005,combined,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_combined,0.7307692307692307,,,completed,pending,
BasicNN,BasicNN_f63ae9417829,0.8,0.9,0.0005,linear,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_linear,0.7262443438914027,,,completed,pending,
BasicNN,BasicNN_f63ae9417829,0.8,0.9,0.0005,transfer,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_transfer,0.7171945701357466,,,completed,pending,
BasicNN,BasicNN_c995ef57acd1,0.8,0.9,0.001,balanced,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_balanced,0.7194570135746606,,,completed,pending,
BasicNN,BasicNN_c995ef57acd1,0.8,0.9,0.001,combined,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_combined,0.7352941176470589,,,completed,pending,
BasicNN,BasicNN_c995ef57acd1,0.8,0.9,0.001,linear,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_linear,0.7217194570135747,,,completed,pending,
BasicNN,BasicNN_c995ef57acd1,0.8,0.9,0.001,transfer,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_transfer,0.7217194570135747,,,completed,pending,
FTTransformer,FTTransformer_1d72c81f2e6d,0.2,0.8,5e-05,balanced,0.1,0.1,0.005,50,64,0.3,lr_5e-05_lambda_balanced,0.5633484162895928,,,completed,pending,
FTTransformer,FTTransformer_1d72c81f2e6d,0.2,0.8,5e-05,combined,0.1,0.1,0.005,50,64,0.3,lr_5e-05_lambda_combined,0.5610859728506787,,,completed,pending,
FTTransformer,FTTransformer_1d72c81f2e6d,0.2,0.8,5e-05,linear,0.1,0.1,0.005,50,64,0.3,lr_5e-05_lambda_linear,0.5701357466063348,,,completed,pending,
FTTransformer,FTTransformer_1d72c81f2e6d,0.2,0.8,5e-05,transfer,0.1,0.1,0.005,50,64,0.3,lr_5e-05_lambda_transfer,0.5723981900452488,,,completed,pending,
FTTransformer,FTTransformer_90947ad3ed8b,0.2,0.8,0.0001,balanced,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_balanced,0.5995475113122172,,,completed,pending,
FTTransformer,FTTransformer_90947ad3ed8b,0.2,0.8,0.0001,combined,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_combined,0.579185520361991,,,completed,pending,
FTTransformer,FTTransformer_90947ad3ed8b,0.2,0.8,0.0001,linear,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_linear,0.5746606334841629,,,completed,pending,
FTTransformer,FTTransformer_90947ad3ed8b,0.2,0.8,0.0001,transfer,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_transfer,0.5633484162895928,,,completed,pending,
FTTransformer,FTTransformer_44cf6472840c,0.2,0.8,0.0005,balanced,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_balanced,0.5610859728506787,,,completed,pending,
FTTransformer,FTTransformer_44cf6472840c,0.2,0.8,0.0005,combined,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_combined,0.5497737556561086,,,completed,pending,
FTTransformer,FTTransformer_44cf6472840c,0.2,0.8,0.0005,linear,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_linear,0.5429864253393665,,,completed,pending,
FTTransformer,FTTransformer_44cf6472840c,0.2,0.8,0.0005,transfer,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_transfer,0.5497737556561086,,,completed,pending,
FTTransformer,FTTransformer_48b11f7745e5,0.2,0.8,0.001,balanced,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_balanced,0.5452488687782805,,,completed,pending,
FTTransformer,FTTransformer_48b11f7745e5,0.2,0.8,0.001,combined,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_combined,0.5180995475113123,,,completed,pending,
FTTransformer,FTTransformer_48b11f7745e5,0.2,0.8,0.001,linear,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_linear,0.5339366515837104,,,completed,pending,
FTTransformer,FTTransformer_48b11f7745e5,0.2,0.8,0.001,transfer,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_transfer,0.5588235294117647,,,completed,pending,
FTTransformer,FTTransformer_1d72c81f2e6d,0.3,0.5,5e-05,balanced,0.1,0.1,0.005,50,64,0.3,lr_5e-05_lambda_balanced,0.5995475113122172,,,completed,pending,
FTTransformer,FTTransformer_1d72c81f2e6d,0.3,0.5,5e-05,combined,0.1,0.1,0.005,50,64,0.3,lr_5e-05_lambda_combined,0.5882352941176471,,,completed,pending,
FTTransformer,FTTransformer_1d72c81f2e6d,0.3,0.5,5e-05,linear,0.1,0.1,0.005,50,64,0.3,lr_5e-05_lambda_linear,0.6131221719457014,,,completed,pending,
FTTransformer,FTTransformer_1d72c81f2e6d,0.3,0.5,5e-05,transfer,0.1,0.1,0.005,50,64,0.3,lr_5e-05_lambda_transfer,0.6063348416289592,,,completed,pending,
FTTransformer,FTTransformer_90947ad3ed8b,0.3,0.5,0.0001,balanced,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_balanced,0.5859728506787331,,,completed,pending,
FTTransformer,FTTransformer_90947ad3ed8b,0.3,0.5,0.0001,combined,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_combined,0.5859728506787331,,,completed,pending,
FTTransformer,FTTransformer_90947ad3ed8b,0.3,0.5,0.0001,linear,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_linear,0.6040723981900452,,,completed,pending,
FTTransformer,FTTransformer_90947ad3ed8b,0.3,0.5,0.0001,transfer,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_transfer,0.5882352941176471,,,completed,pending,
FTTransformer,FTTransformer_44cf6472840c,0.3,0.5,0.0005,balanced,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_balanced,0.5565610859728507,,,completed,pending,
FTTransformer,FTTransformer_44cf6472840c,0.3,0.5,0.0005,combined,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_combined,0.579185520361991,,,completed,pending,
FTTransformer,FTTransformer_44cf6472840c,0.3,0.5,0.0005,linear,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_linear,0.5633484162895928,,,completed,pending,
FTTransformer,FTTransformer_44cf6472840c,0.3,0.5,0.0005,transfer,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_transfer,0.5475113122171946,,,completed,pending,
FTTransformer,FTTransformer_48b11f7745e5,0.3,0.5,0.001,balanced,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_balanced,0.5995475113122172,,,completed,pending,
