exp_category,exp_path,model_name,constraint_local,constraint_global,learning_rate,batch_size,epochs,warmup_epochs,lambda_global_init,lambda_local_init,lambda_step,lambda_strategy,constraint_threshold,convergence_window,convergence_required,hidden_dims,dropout,status,used_cached_model,training_time,accuracy,precision_macro,recall_macro,f1_macro,precision_dropout,recall_dropout,f1_dropout,precision_enrolled,recall_enrolled,f1_enrolled,precision_graduate,recall_graduate,f1_graduate
heuristic,results/heuristic/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0005_lambda_balanced,BasicNN,0.9,0.8,0.0005,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0,0.7579,0.7144,0.6753,,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0005_lambda_combined,BasicNN,0.9,0.8,0.0005,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0010004043579101562,0.7579,0.7144,0.6753,,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0005_lambda_linear,BasicNN,0.9,0.8,0.0005,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.001001119613647461,0.7579,0.7144,0.6753,,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0005_lambda_transfer,BasicNN,0.9,0.8,0.0005,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.0009989738464355469,0.7579,0.7144,0.6753,,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.001_lambda_balanced,BasicNN,0.9,0.8,0.001,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0,0.7624,0.7307,0.6873,,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.001_lambda_combined,BasicNN,0.9,0.8,0.001,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0,0.7624,0.7307,0.6873,,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.001_lambda_linear,BasicNN,0.9,0.8,0.001,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0009999275207519531,0.7624,0.7307,0.6873,,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.001_lambda_transfer,BasicNN,0.9,0.8,0.001,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.001504659652709961,0.7624,0.7307,0.6873,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_balanced,FTTransformer,0.5,0.3,5e-05,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0010001659393310547,0.6131,0.6981,0.4792,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_combined,FTTransformer,0.5,0.3,5e-05,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0010004043579101562,0.6131,0.6981,0.4792,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_linear,FTTransformer,0.5,0.3,5e-05,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0010063648223876953,0.6131,0.6981,0.4792,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_transfer,FTTransformer,0.5,0.3,5e-05,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.001001119613647461,0.6131,0.6981,0.4792,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_balanced,FTTransformer,0.5,0.3,0.0001,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0,0.6063,0.6756,0.4712,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_combined,FTTransformer,0.5,0.3,0.0001,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0010013580322265625,0.6063,0.6756,0.4712,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_linear,FTTransformer,0.5,0.3,0.0001,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.00099945068359375,0.6063,0.6756,0.4712,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_transfer,FTTransformer,0.5,0.3,0.0001,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.001035928726196289,0.6063,0.6756,0.4712,,,,,,,,,,
