experiment_path,status,final_epoch,global_satisfied,local_satisfied,stop_reason
our_approach/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_combined,interrupted,84,True,False,Stopped at epoch 84 with Global satisfied
our_approach/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_linear,converged,81,True,True,Both constraints satisfied at epoch 81
our_approach/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_transfer,converged,96,True,True,Both constraints satisfied at epoch 96
our_approach/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_balanced,interrupted,96,True,False,Stopped at epoch 96 with Global satisfied
our_approach/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_combined,interrupted,87,True,False,Stopped at epoch 87 with Global satisfied
our_approach/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_linear,interrupted,105,True,False,Stopped at epoch 105 with Global satisfied
our_approach/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_transfer,converged,102,True,True,Both constraints satisfied at epoch 102
our_approach/TabularResNet/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_balanced,interrupted,261,False,False,Stopped at epoch 261 without satisfying constraints
our_approach/TabularResNet/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_combined,converged,285,True,True,Both constraints satisfied at epoch 285
our_approach/TabularResNet/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_linear,converged,258,True,True,Both constraints satisfied at epoch 258
our_approach/TabularResNet/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_transfer,converged,267,True,True,Both constraints satisfied at epoch 267
our_approach/TabularResNet/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_balanced,interrupted,384,False,False,Stopped at epoch 384 without satisfying constraints
our_approach/TabularResNet/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_combined,interrupted,999,True,False,Stopped at epoch 999 with Global satisfied
our_approach/TabularResNet/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_linear,interrupted,999,True,False,Stopped at epoch 999 with Global satisfied
our_approach/TabularResNet/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_transfer,interrupted,999,True,False,Stopped at epoch 999 with Global satisfied
our_approach/TabularResNet/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_balanced,converged,336,True,True,Both constraints satisfied at epoch 336
our_approach/TabularResNet/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_combined,converged,405,True,True,Both constraints satisfied at epoch 405
our_approach/TabularResNet/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_linear,interrupted,357,False,True,Stopped at epoch 357 with Local satisfied
our_approach/TabularResNet/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_transfer,interrupted,465,False,True,Stopped at epoch 465 with Local satisfied
our_approach/TabularResNet/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_balanced,interrupted,708,False,True,Stopped at epoch 708 with Local satisfied
our_approach/TabularResNet/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_combined,interrupted,807,False,True,Stopped at epoch 807 with Local satisfied
our_approach/TabularResNet/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_linear,interrupted,693,False,True,Stopped at epoch 693 with Local satisfied
our_approach/TabularResNet/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_transfer,interrupted,627,False,True,Stopped at epoch 627 with Local satisfied
our_approach/TabularResNet/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_balanced,interrupted,135,True,False,Stopped at epoch 135 with Global satisfied
our_approach/TabularResNet/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_combined,converged,123,True,True,Both constraints satisfied at epoch 123
our_approach/TabularResNet/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_linear,interrupted,150,True,False,Stopped at epoch 150 with Global satisfied
our_approach/TabularResNet/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_transfer,converged,183,True,True,Both constraints satisfied at epoch 183
our_approach/TabularResNet/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_balanced,interrupted,186,True,False,Stopped at epoch 186 with Global satisfied
our_approach/TabularResNet/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_combined,interrupted,156,True,False,Stopped at epoch 156 with Global satisfied
our_approach/TabularResNet/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_linear,converged,150,True,True,Both constraints satisfied at epoch 150
our_approach/TabularResNet/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_transfer,interrupted,195,True,False,Stopped at epoch 195 with Global satisfied
