path,status,final_epoch,global_satisfied,local_satisfied,model,constraint,lambda_strategy,lr
FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_balanced,converged,89,True,True,FTTransformer,"[0, 0, 0]",balanced,0.0001
FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_combined,converged,77,True,True,FTTransformer,"[0, 0, 0]",combined,0.0001
FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_linear,converged,81,True,True,FTTransformer,"[0, 0, 0]",linear,0.0001
FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_transfer,converged,96,True,True,FTTransformer,"[0, 0, 0]",transfer,0.0001
FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_balanced,converged,105,True,True,FTTransformer,"[0, 0, 0]",balanced,5e-05
FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_combined,converged,95,True,True,FTTransformer,"[0, 0, 0]",combined,5e-05
FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_linear,converged,93,True,True,FTTransformer,"[0, 0, 0]",linear,5e-05
FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_transfer,converged,102,True,True,FTTransformer,"[0, 0, 0]",transfer,5e-05
TabularResNet/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_balanced,failed,1000,True,False,TabularResNet,"[0, 0, 0]",balanced,0.0001
TabularResNet/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_combined,converged,285,True,True,TabularResNet,"[0, 0, 0]",combined,0.0001
TabularResNet/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_linear,converged,258,True,True,TabularResNet,"[0, 0, 0]",linear,0.0001
TabularResNet/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_transfer,converged,267,True,True,TabularResNet,"[0, 0, 0]",transfer,0.0001
TabularResNet/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_balanced,converged,396,True,True,TabularResNet,"[0, 0, 0]",balanced,5e-05
TabularResNet/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_combined,converged,350,True,True,TabularResNet,"[0, 0, 0]",combined,5e-05
TabularResNet/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_linear,converged,527,True,True,TabularResNet,"[0, 0, 0]",linear,5e-05
TabularResNet/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_transfer,converged,373,True,True,TabularResNet,"[0, 0, 0]",transfer,5e-05
TabularResNet/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_balanced,converged,336,True,True,TabularResNet,"[0, 0, 0]",balanced,0.0001
TabularResNet/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_combined,converged,405,True,True,TabularResNet,"[0, 0, 0]",combined,0.0001
TabularResNet/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_linear,converged,445,True,True,TabularResNet,"[0, 0, 0]",linear,0.0001
TabularResNet/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_transfer,converged,448,True,True,TabularResNet,"[0, 0, 0]",transfer,0.0001
TabularResNet/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_balanced,converged,608,True,True,TabularResNet,"[0, 0, 0]",balanced,5e-05
TabularResNet/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_combined,converged,740,True,True,TabularResNet,"[0, 0, 0]",combined,5e-05
TabularResNet/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_linear,converged,716,True,True,TabularResNet,"[0, 0, 0]",linear,5e-05
TabularResNet/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_transfer,converged,729,True,True,TabularResNet,"[0, 0, 0]",transfer,5e-05
TabularResNet/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_balanced,converged,207,True,True,TabularResNet,"[0, 0, 0]",balanced,0.0001
TabularResNet/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_combined,converged,123,True,True,TabularResNet,"[0, 0, 0]",combined,0.0001
TabularResNet/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_linear,converged,149,True,True,TabularResNet,"[0, 0, 0]",linear,0.0001
TabularResNet/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_transfer,converged,183,True,True,TabularResNet,"[0, 0, 0]",transfer,0.0001
TabularResNet/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_balanced,converged,123,True,True,TabularResNet,"[0, 0, 0]",balanced,5e-05
TabularResNet/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_combined,converged,164,True,True,TabularResNet,"[0, 0, 0]",combined,5e-05
TabularResNet/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_linear,converged,150,True,True,TabularResNet,"[0, 0, 0]",linear,5e-05
TabularResNet/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_transfer,converged,139,True,True,TabularResNet,"[0, 0, 0]",transfer,5e-05
