dataset,model,warmup_epochs,constrained_class,constraint_tag,method,seed,acc,f1m,ccf1,ccrec,ccprec,flips,sat
octmnist,MobileNetV3,50,2,L30_G30,tralo_bounded,1,0.735,0.7008,0.4075,0.26,0.942,0.0,1.0
octmnist,MobileNetV3,50,2,L30_G30,tralo_bounded,2,0.728,0.691,0.381,0.24,0.9231,0.0,1.0
octmnist,MobileNetV3,50,2,L30_G30,tralo_bounded,3,0.745,0.7098,0.405,0.26,0.9155,0.0,1.0
octmnist,MobileNetV3,50,2,L30_G30,tralo_bounded,4,0.742,0.7003,0.3601,0.224,0.918,0.0,1.0
octmnist,MobileNetV3,50,2,L50_G50,danits_lp,1,0.73,0.7206,0.6027,0.452,0.904,135.0,0.0
octmnist,MobileNetV3,50,2,L50_G50,danits_lp,2,0.692,0.6766,0.5387,0.404,0.808,34.0,0.0
octmnist,MobileNetV3,50,2,L50_G50,danits_lp,3,0.714,0.6995,0.544,0.408,0.816,27.0,0.0
octmnist,MobileNetV3,50,2,L50_G50,danits_lp,4,0.769,0.754,0.576,0.432,0.864,42.0,0.0
octmnist,MobileNetV3,50,2,L50_G50,fioretto_ldf,1,0.766,0.7512,0.5653,0.424,0.848,24.0,1.0
octmnist,MobileNetV3,50,2,L50_G50,fioretto_ldf,2,0.78,0.7663,0.6027,0.452,0.904,10.0,0.0
octmnist,MobileNetV3,50,2,L50_G50,fioretto_ldf,3,0.779,0.7645,0.5813,0.436,0.872,10.0,0.0
octmnist,MobileNetV3,50,2,L50_G50,fioretto_ldf,4,0.78,0.7642,0.5707,0.428,0.856,7.0,1.0
octmnist,MobileNetV3,50,2,L50_G50,heuristic,1,0.73,0.7205,0.6027,0.452,0.904,135.0,0.0
octmnist,MobileNetV3,50,2,L50_G50,heuristic,2,0.692,0.6766,0.5387,0.404,0.808,34.0,0.0
octmnist,MobileNetV3,50,2,L50_G50,heuristic,3,0.712,0.6971,0.5387,0.404,0.808,27.0,0.0
