dataset,model,cap,seed,warmup,sweep,N,K,base,mad,theta,sink_maxerr_eps1.0,sink_mass_eps1.0,sink_spearman_eps1.0,sink_topK_jacc_eps1.0,sink_maxerr_eps0.5,sink_mass_eps0.5,sink_spearman_eps0.5,sink_topK_jacc_eps0.5,align_incumbent,neff_incumbent,align_otce,neff_otce,otce_wfar,nact_g0.25,nactfrac_g0.25,actkeepTP_g0.25,actdropTP_g0.25,nkeep_g0.25,ndrop_g0.25,align_cut_g0.25,nact_g0.50,nactfrac_g0.50,actkeepTP_g0.50,actdropTP_g0.50,nkeep_g0.50,ndrop_g0.50,align_cut_g0.50,nact_g1.00,nactfrac_g1.00,actkeepTP_g1.00,actdropTP_g1.00,nkeep_g1.00,ndrop_g1.00,align_cut_g1.00,nact_g2.00,nactfrac_g2.00,actkeepTP_g2.00,actdropTP_g2.00,nkeep_g2.00,ndrop_g2.00,align_cut_g2.00
tissuemnist,MobileNetV3,L50_G50,1,30,headroom_b30,2400,86,0.07125,6.1564459373418625,6.754232095072869,0.2519873755134084,86.00000091781916,0.9997577386732186,0.9651162790697675,0.9977640217310986,86.0000025813172,0.9999629496463452,0.9883720930232558,-0.1686728091849304,0.1182153174110195,-0.25338124895121594,0.10895620344054377,0.0014918446717884866,48,0.02,0.4782608695652174,0.24,23,25,0.10416666666666667,103,0.042916666666666665,0.45,0.3492063492063492,40,63,-0.038834951456310676,239,0.09958333333333333,0.453125,0.26857142857142857,64,175,-0.07531380753138076,636,0.265,0.5121951219512195,0.1624548736462094,82,554,-0.07547169811320754
tissuemnist,MobileNetV3,L50_G50,2,30,headroom_b30,2400,86,0.07125,5.401669039202684,6.8948238733688285,0.20887376914444628,86.00000082660321,0.9996844808480001,0.9883720930232558,0.9981176674522863,86.00000097140389,0.9999539808947882,1.0,-0.172514141569212,0.12627031247973913,-0.23842472001021076,0.10684894034209665,0.008109261383112193,42,0.0175,0.4666666666666667,0.37037037037037035,15,27,-0.07142857142857142,90,0.0375,0.4166666666666667,0.2962962962962963,36,54,-0.011111111111111112,182,0.07583333333333334,0.5084745762711864,0.2682926829268293,59,123,-0.016483516483516484,543,0.22625,0.5432098765432098,0.17532467532467533,81,462,-0.06813996316758748
tissuemnist,MobileNetV3,L50_G50,4,30,headroom_b30,2400,86,0.07125,6.93601364203861,3.798816384848863,0.18848654462806702,86.00000085177761,0.9998603480660326,0.9651162790697675,0.9555753726136756,86.00000096034012,0.9999813088075147,1.0,-0.29919879825769957,0.06221481336091903,-0.32752677158637894,0.0464372795325353,4.251172679046361e-05,58,0.024166666666666666,0.4,0.3333333333333333,25,33,-0.017241379310344827,108,0.045,0.43902439024390244,0.3582089552238806,41,67,-0.05555555555555555,231,0.09625,0.38095238095238093,0.30357142857142855,63,168,-0.11688311688311688,678,0.2825,0.45569620253164556,0.14691151919866444,79,599,-0.07669616519174041
tissuemnist,MobileNetV3,L50_G50,3,30,headroom_b30,2400,86,0.07125,6.344031290041258,4.923375150878501,0.1910468317768085,86.00000099685624,0.9998482725431027,0.9883720930232558,0.9845540761175733,86.00000096589628,0.9999792317672277,1.0,-0.24697505908663503,0.09294181676843932,-0.28756970776417295,0.07593570648747892,0.00025766975829882974,57,0.02375,0.6153846153846154,0.3225806451612903,26,31,0.10526315789473684,120,0.05,0.5813953488372093,0.3116883116883117,43,77,0.008333333333333333,255,0.10625,0.5806451612903226,0.27979274611398963,62,193,-0.07058823529411765,665,0.27708333333333335,0.5609756097560976,0.16123499142367068,82,583,-0.07218045112781955
tissuemnist,MobileNetV3,L50_G50,1,30,headroom_b30,2400,86,0.07125,6.1564459373418625,6.754232095072869,0.2519873755134084,86.00000091781916,0.9997577386732186,0.9651162790697675,0.9977640217310986,86.0000025813172,0.9999629496463452,0.9883720930232558,-0.1686728091849304,0.1182153174110195,-0.25338124895121594,0.10895620344054377,0.0014918446717884866,48,0.02,0.4782608695652174,0.24,23,25,0.10416666666666667,103,0.042916666666666665,0.45,0.3492063492063492,40,63,-0.038834951456310676,239,0.09958333333333333,0.453125,0.26857142857142857,64,175,-0.07531380753138076,636,0.265,0.5121951219512195,0.1624548736462094,82,554,-0.07547169811320754
tissuemnist,MobileNetV3,L50_G50,2,30,headroom_b30,2400,86,0.07125,5.401669039202684,6.8948238733688285,0.20887376914444628,86.00000082660321,0.9996844808480001,0.9883720930232558,0.9981176674522863,86.00000097140389,0.9999539808947882,1.0,-0.172514141569212,0.12627031247973913,-0.23842472001021076,0.10684894034209665,0.008109261383112193,42,0.0175,0.4666666666666667,0.37037037037037035,15,27,-0.07142857142857142,90,0.0375,0.4166666666666667,0.2962962962962963,36,54,-0.011111111111111112,182,0.07583333333333334,0.5084745762711864,0.2682926829268293,59,123,-0.016483516483516484,543,0.22625,0.5432098765432098,0.17532467532467533,81,462,-0.06813996316758748
octmnist,MobileNetV3,L50_G50,4,30,headroom_b30,1000,125,0.25,9.871652656058407,1.2241598058919965,0.21326821788375322,125.0000009046787,0.9999554049512577,0.984,0.5185158592603921,125.00000095776547,0.9999926859919838,1.0,-0.5625511052187382,0.12606825275645678,-0.4303238251023936,0.08767437512954639,6.5078532859532505e-09,102,0.102,0.5714285714285714,0.6037735849056604,49,53,-0.0392156862745098,181,0.181,0.6527777777777778,0.5412844036697247,72,109,-0.06629834254143646,347,0.347,0.7435897435897436,0.47391304347826085,117,230,-0.06340057636887608,609,0.609,0.7560975609756098,0.2962962962962963,123,486,-0.08374384236453201
octmnist,MobileNetV3,L50_G50,3,30,headroom_b30,1000,125,0.25,7.966698773410062,4.451153020011111,0.15921944566697288,125.0000009817918,0.9999580239544978,0.984,0.9730504023618398,125.00737265100227,0.9999933399927006,0.992,-0.5667827278418408,0.10426152852672327,-0.6650001502563835,0.08750781377928685,6.21600432208194e-06,49,0.049,0.8214285714285714,0.8571428571428571,28,21,0.10204081632653061,102,0.102,0.8431372549019608,0.7254901960784313,51,51,0.058823529411764705,207,0.207,0.8780487804878049,0.616,82,125,-0.024154589371980676,479,0.479,0.8983050847457628,0.3296398891966759,118,361,-0.027139874739039668
octmnist,MobileNetV3,L50_G50,1,30,headroom_b30,1000,125,0.25,9.55116169334439,-1.1866480635570311,0.20163803630799193,110.61967422874314,0.999960780956663,0.992,0.1711325096271284,109.25334807270687,0.999992889992122,1.0,-0.7078675762850468,0.08188697629612456,0.4472541428075748,0.05452016262071852,1.944956972836371e-09,78,0.078,0.7419354838709677,0.6382978723404256,31,47,-0.08974358974358974,138,0.138,0.7592592592592593,0.6071428571428571,54,84,-0.07246376811594203,291,0.291,0.8163265306122449,0.46632124352331605,98,193,-0.03436426116838488,581,0.581,0.8373983739837398,0.27292576419213976,123,458,-0.0378657487091222
octmnist,MobileNetV3,L50_G50,2,30,headroom_b30,1000,125,0.25,8.038478857968254,3.806351425461883,0.187236118383858,125.00000099142892,0.99994638394188,0.992,0.963061298055874,125.00102469327135,0.9999910389902057,1.0,-0.5528780318693021,0.12400481080069536,-0.6292722356261403,0.10103424319557937,2.3719352870379173e-06,63,0.063,0.6538461538461539,0.7027027027027027,26,37,-0.14285714285714285,123,0.123,0.7450980392156863,0.6527777777777778,51,72,-0.07317073170731707,272,0.272,0.8315789473684211,0.4915254237288136,95,177,-0.029411764705882353,542,0.542,0.8688524590163934,0.3,122,420,-0.03690036900369004
