Metric,Value
Overall Accuracy,0.5068
""
Macro Averaged Metrics,
Precision (Macro),0.4182
Recall (Macro),0.3404
F1-Score (Macro),0.2373
""
Weighted Averaged Metrics,
Precision (Weighted),0.4932
Recall (Weighted),0.5068
F1-Score (Weighted),0.3486
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.7500,0.0211,0.0411,142
Enrolled,0.0000,0.0000,0.0000,79
Graduate,0.5046,1.0000,0.6707,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,3,0,139
Enrolled,1,0,78
Graduate,0,0,221
