Metric,Value
Overall Accuracy,0.7217
""
Macro Averaged Metrics,
Precision (Macro),0.7014
Recall (Macro),0.5983
F1-Score (Macro),0.6108
""
Weighted Averaged Metrics,
Precision (Weighted),0.7278
Recall (Weighted),0.7217
F1-Score (Weighted),0.6898
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.9101,0.5745,0.7043,141
Enrolled,0.5000,0.2250,0.3103,80
Graduate,0.6940,0.9955,0.8178,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,81,17,43
Enrolled,8,18,54
Graduate,0,1,220
