Metric,Value
Overall Accuracy,0.5950
""
Macro Averaged Metrics,
Precision (Macro),0.6200
Recall (Macro),0.4515
F1-Score (Macro),0.4309
""
Weighted Averaged Metrics,
Precision (Weighted),0.6324
Recall (Weighted),0.5950
F1-Score (Weighted),0.5176
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8049,0.2340,0.3626,141
Enrolled,0.4762,0.1250,0.1980,80
Graduate,0.5789,0.9955,0.7321,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,33,10,98
Enrolled,8,10,62
Graduate,0,1,220
