Epoch,Train_Acc,L_CE,L_Global,L_Local,L_KL,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Class0,Hard_Class0,Soft_Class0,Limit_Class1,Hard_Class1,Soft_Class1,Limit_Class2,Hard_Class2,Soft_Class2,Limit_Class3,Hard_Class3,Soft_Class3,Limit_Class4,Hard_Class4,Soft_Class4,Limit_Class5,Hard_Class5,Soft_Class5,Limit_Class6,Hard_Class6,Soft_Class6,Group0_Hard_Class4,Group0_Soft_Class4,Group0_Limit_Class4,Group1_Hard_Class4,Group1_Soft_Class4,Group1_Limit_Class4,Group2_Hard_Class4,Group2_Soft_Class4,Group2_Limit_Class4
2,0.8122,0.549539,0.129208,0.351341,0.000000,0.05,0.00,1,0,inf,1,56.70,inf,124,111.32,inf,268,240.80,inf,0,26.35,112,112,208.18,inf,1498,1334.84,inf,0,24.81,68,108.70,49,33,66.74,42,11,32.73,20
5,0.8080,0.547486,0.205972,0.569642,0.000000,0.06,0.00,0,0,inf,11,57.10,inf,129,102.87,inf,207,212.35,inf,0,22.69,112,139,208.66,inf,1517,1377.51,inf,0,21.81,78,106.42,49,43,67.33,42,18,34.91,20
10,0.8450,0.457086,0.304947,0.816386,0.000000,0.07,0.00,0,0,inf,29,61.87,inf,129,106.69,inf,217,218.77,inf,0,19.95,112,129,193.25,inf,1498,1382.60,inf,1,19.87,68,97.58,49,42,62.65,42,19,33.02,20
15,0.8763,0.369351,0.625537,1.644463,0.000000,0.08,0.00,0,0,inf,41,64.68,inf,130,112.75,inf,210,217.75,inf,0,19.14,112,162,215.28,inf,1452,1352.96,inf,8,20.45,82,107.73,49,55,70.82,42,25,36.74,20
20,0.8997,0.301410,0.774791,2.055125,0.000000,0.09,0.00,0,0,inf,45,63.69,inf,121,110.30,inf,237,234.78,inf,1,17.38,112,150,202.89,inf,1439,1353.70,inf,10,20.25,73,99.84,49,53,69.31,42,24,33.75,20
25,0.9309,0.231250,1.057369,2.794483,0.000000,0.10,0.00,0,0,inf,67,75.91,inf,119,117.78,inf,240,239.63,inf,1,18.22,112,160,203.86,inf,1397,1324.30,inf,19,23.29,80,100.60,49,57,70.22,42,23,33.03,20
30,0.9501,0.178333,1.383961,3.816129,0.000000,0.11,0.00,0,0,inf,48,61.53,inf,116,112.64,inf,221,223.26,inf,1,15.41,112,173,204.75,inf,1421,1361.03,inf,23,24.38,80,97.23,49,65,72.30,42,28,35.22,20
35,0.9623,0.142799,1.769957,4.844201,0.000000,0.12,0.00,0,0,inf,58,65.88,inf,115,108.85,inf,209,212.40,inf,3,15.96,112,181,206.25,inf,1414,1366.87,inf,23,26.80,84,98.74,49,66,73.01,42,31,34.50,20
40,0.9770,0.099987,1.547211,4.250349,0.000000,0.13,0.00,0,0,inf,44,53.86,inf,121,114.25,inf,232,233.59,inf,5,14.89,112,161,184.28,inf,1414,1373.19,inf,26,28.93,79,86.81,49,56,66.93,42,26,30.55,20
45,0.9824,0.075774,1.809189,4.936034,0.000000,0.14,0.00,0,0,inf,63,67.62,inf,118,115.64,inf,211,210.25,inf,7,17.56,112,161,182.89,inf,1419,1381.14,inf,24,27.90,76,86.33,49,61,66.81,42,24,29.74,20
50,0.9869,0.061249,1.423036,3.947618,0.000000,0.15,0.00,0,0,inf,76,79.90,inf,96,97.41,inf,247,242.73,inf,10,18.29,112,154,166.04,inf,1396,1371.75,inf,24,26.88,73,78.70,49,54,59.84,42,27,27.51,20
55,0.9933,0.042224,1.969231,5.577919,0.000000,0.16,0.00,0,0,inf,61,64.34,inf,102,100.98,inf,220,218.65,inf,11,16.31,112,153,172.30,inf,1432,1404.40,inf,24,26.02,73,80.67,49,56,62.23,42,24,29.40,20
60,0.9965,0.029974,2.765531,7.534296,0.000000,0.17,0.00,0,0,inf,61,63.22,inf,111,110.43,inf,236,232.08,inf,11,18.49,112,168,180.85,inf,1390,1369.66,inf,26,28.26,80,85.28,49,64,66.70,42,24,28.87,20
65,1.0000,0.000000,1.048147,2.900686,0.000000,0.18,0.00,0,0,inf,61,63.44,inf,111,109.57,inf,234,232.29,inf,10,17.49,112,134,147.05,inf,1426,1404.80,inf,27,28.37,63,68.82,49,51,54.94,42,20,23.29,20
68,1.0000,0.000000,0.015198,0.147199,0.000000,0.18,0.00,1,1,inf,60,62.51,inf,110,107.62,inf,230,230.49,inf,10,16.33,112,105,115.26,inf,1461,1442.40,inf,27,28.40,47,53.50,49,42,43.85,42,16,17.91,20
69,1.0000,0.000000,0.000000,0.000000,0.000000,0.18,0.00,1,1,inf,62,62.13,inf,107,106.81,inf,232,229.32,inf,10,15.88,112,96,105.26,inf,1469,1455.22,inf,27,28.39,46,48.81,49,38,40.19,42,12,16.26,20
70,1.0000,0.000000,0.961961,2.708150,0.000000,0.18,0.00,0,0,inf,62,64.02,inf,111,109.39,inf,227,228.82,inf,10,17.35,112,131,144.24,inf,1435,1410.66,inf,27,28.53,63,67.22,49,48,53.88,42,20,23.14,20
73,1.0000,0.000000,0.000000,0.000000,0.000000,0.18,0.00,1,1,inf,62,63.00,inf,108,106.38,inf,219,214.21,inf,10,15.69,112,101,105.80,inf,1476,1469.59,inf,27,28.32,45,47.92,49,40,40.27,42,16,17.61,20
74,1.0000,0.000000,0.000000,0.000000,0.000000,0.18,0.00,1,1,inf,63,62.85,inf,105,105.53,inf,215,209.83,inf,10,15.38,112,99,100.51,inf,1484,1480.63,inf,27,28.26,45,45.32,49,38,38.20,42,16,16.99,20
75,1.0000,0.000000,0.000000,0.000000,0.000000,0.18,0.00,1,1,inf,63,63.33,inf,107,105.43,inf,212,206.81,inf,10,15.42,112,100,102.74,inf,1484,1481.04,inf,27,28.22,45,45.98,49,39,39.00,42,16,17.77,20
76,1.0000,0.000000,0.000000,0.000000,0.000000,0.18,0.00,1,1,inf,62,64.17,inf,107,105.92,inf,213,204.69,inf,10,15.71,112,106,109.99,inf,1478,1474.32,inf,27,28.20,47,48.76,49,41,41.70,42,18,19.53,20
80,1.0000,0.000000,0.070797,0.276610,0.000000,0.18,0.00,0,0,inf,66,66.12,inf,109,107.34,inf,209,203.01,inf,10,16.35,112,114,119.86,inf,1469,1461.99,inf,26,28.33,49,52.55,49,45,45.38,42,20,21.93,20
81,1.0000,0.000000,0.000000,0.004753,0.000000,0.18,0.00,1,1,inf,66,66.10,inf,110,107.36,inf,210,204.16,inf,10,16.19,112,106,111.65,inf,1474,1469.13,inf,27,28.40,47,49.10,49,41,42.43,42,18,20.13,20
82,1.0000,0.000000,0.000000,0.000000,0.000000,0.18,0.00,1,1,inf,64,66.00,inf,110,107.21,inf,207,204.93,inf,10,15.90,112,103,101.86,inf,1482,1478.62,inf,27,28.47,45,45.13,49,40,38.70,42,18,18.03,20
83,1.0000,0.000000,0.000000,0.000000,0.000000,0.18,0.00,1,1,inf,64,65.87,inf,111,107.24,inf,207,205.80,inf,10,15.76,112,101,97.09,inf,1483,1482.69,inf,27,28.54,45,43.21,49,39,36.85,42,17,17.02,20
84,1.0000,0.000000,0.000000,0.000000,0.000000,0.18,0.00,1,1,inf,64,65.75,inf,111,107.48,inf,207,206.69,inf,10,15.81,112,101,96.11,inf,1483,1482.56,inf,27,28.60,45,42.87,49,39,36.48,42,17,16.77,20
