Metric,Value
Overall Accuracy,0.5950
""
Macro Averaged Metrics,
Precision (Macro),0.5934
Recall (Macro),0.4478
F1-Score (Macro),0.4265
""
Weighted Averaged Metrics,
Precision (Weighted),0.6286
Recall (Weighted),0.5950
F1-Score (Weighted),0.5212
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8837,0.2695,0.4130,141
Enrolled,0.3182,0.0875,0.1373,80
Graduate,0.5782,0.9864,0.7291,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,38,12,91
Enrolled,5,7,68
Graduate,0,3,218
