Metric,Value
Overall Accuracy,0.5928
""
Macro Averaged Metrics,
Precision (Macro),0.6124
Recall (Macro),0.4500
F1-Score (Macro),0.4296
""
Weighted Averaged Metrics,
Precision (Weighted),0.6279
Recall (Weighted),0.5928
F1-Score (Weighted),0.5162
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8049,0.2340,0.3626,141
Enrolled,0.4545,0.1250,0.1961,80
Graduate,0.5778,0.9910,0.7300,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,33,11,97
Enrolled,7,10,63
Graduate,1,1,219
