Metric,Value
Overall Accuracy,0.5090
""
Macro Averaged Metrics,
Precision (Macro),0.7241
Recall (Macro),0.3465
F1-Score (Macro),0.2494
""
Weighted Averaged Metrics,
Precision (Weighted),0.6933
Recall (Weighted),0.5090
F1-Score (Weighted),0.3535
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,1.0000,0.0141,0.0278,142
Enrolled,0.6667,0.0253,0.0488,79
Graduate,0.5057,1.0000,0.6717,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,2,1,139
Enrolled,0,2,77
Graduate,0,0,221
