Metric,Value
Overall Accuracy,0.5090
""
Macro Averaged Metrics,
Precision (Macro),0.5015
Recall (Macro),0.3427
F1-Score (Macro),0.2418
""
Weighted Averaged Metrics,
Precision (Weighted),0.5736
Recall (Weighted),0.5090
F1-Score (Weighted),0.3530
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,1.0000,0.0282,0.0548,142
Enrolled,0.0000,0.0000,0.0000,79
Graduate,0.5046,1.0000,0.6707,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,4,0,138
Enrolled,0,0,79
Graduate,0,0,221
